KEGG_L3	S149	S150	S152	S153	S157	S113	S114	S130	S146	S802	S20	S27	S32	S45	S107	description
ko00190	30.4464	2.4643	1.7232	0.5446	16.2857	0.7679	3.0714	39.8571	8.6071	33.4286	180.7321	289.6518	33.8304	6.4464	974.1696	Metabolism; Energy metabolism; Oxidative phosphorylation
ko00195	0	2.9062	0	0	0	0	0	0	7.3125	0	0	0	0	0	0	Metabolism; Energy metabolism; Photosynthesis
ko00220	59.3548	5.5161	1.9355	0.7419	41.8387	0.6774	6.3871	73.6129	21.6452	43.8387	461.0968	469.7097	45.4839	15.4839	1773.6774	Metabolism; Amino acid metabolism; Arginine biosynthesis
ko00230	50.6514	5.3119	3.844	1	32.5046	1.4954	5.2477	126.1284	17.4862	66.9174	495.1376	419.4495	76.0642	13.1193	1419.6514	Metabolism; Nucleotide metabolism; Purine metabolism
ko00240	49.1455	5	5.5455	1.6909	47.1091	1.7273	6.9818	165.5455	15.8727	59.5818	621.1818	504.1636	114.2364	16.9818	1710.6909	Metabolism; Nucleotide metabolism; Pyrimidine metabolism
ko00250	106.0857	11.1429	9.0857	2.7429	85.5429	3.3714	12.2571	196.9429	37.8	109.7143	859.3143	837.9143	124.0571	30.7143	3291.8571	Metabolism; Amino acid metabolism; Alanine, aspartate and glutamate metabolism
ko00260	57.1636	6.8364	5.0364	3	24.7636	3.0545	5.6364	66.9091	16.0182	44.8909	557.4364	511.0182	60.8909	11.0182	2092.9273	Metabolism; Amino acid metabolism; Glycine, serine and threonine metabolism
ko00261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1712.7857	Metabolism; Biosynthesis of other secondary metabolites; Monobactam biosynthesis
ko00270	43.129	4.1452	3.9194	2.0484	19.3871	2.1452	4.4677	95.7581	14.1129	45.9032	519.2097	456.0323	58.871	7.9194	1753.129	Metabolism; Amino acid metabolism; Cysteine and methionine metabolism
ko00280	60.7714	7.3143	5.7143	4.8286	6.6286	5	5.6857	51.6286	14.7714	56.2571	256.9429	820.3714	48.4571	5.8286	2698.5714	Metabolism; Amino acid metabolism; Valine, leucine and isoleucine degradation
ko00281	24.25	5.25	0.375	2.25	1.875	0.75	5.125	5.625	10	27.625	0	526.875	25.5	0.75	1385.375	Metabolism; Metabolism of terpenoids and polyketides; Geraniol degradation
ko00290	166.7	18.6	3.7	0	31.5	0	8	135.7	39.6	136.3	1343.8	1135.4	123.7	11.6	5237.8	Metabolism; Amino acid metabolism; Valine, leucine and isoleucine biosynthesis
ko00300	62.76	6.12	2.24	0.2	56.68	1	5.16	97.28	19.6	53.12	577.92	552.88	68.16	21.64	2061.76	Metabolism; Amino acid metabolism; Lysine biosynthesis
ko00310	34.0612	4.8776	2.6939	2.4898	3.6122	1.7959	2.3469	26.7755	10	33.4286	221.449	320.0816	29.6531	3.898	1394.1837	Metabolism; Amino acid metabolism; Lysine degradation
ko00311	15.25	0.75	1.25	0	0	0	0	88.5	0.125	7	115.75	114.5	43	0.875	540	Metabolism; Biosynthesis of other secondary metabolites; Penicillin and cephalosporin biosynthesis
ko00330	22.3889	2.3333	2.6852	2.037	19.9815	2.1296	3.463	58.1481	4.3148	14.5741	339.8704	280.3519	30.3704	7.0185	1551.6296	Metabolism; Amino acid metabolism; Arginine and proline metabolism
ko00340	51.0833	5.9583	3.7083	1.7917	2.2083	2.5	4.4167	82.4583	15.6667	38.5417	231.5	483.4583	46.4583	2.5833	2085.1667	Metabolism; Amino acid metabolism; Histidine metabolism
ko00350	27.1905	3.0238	2.5714	1.8095	6.7857	2	2.119	24.7143	8.119	19.2143	189.381	215.7143	23.6905	2.7381	924.381	Metabolism; Amino acid metabolism; Tyrosine metabolism
ko00360	31.1081	3.1351	1.6757	0	6.7027	1.1351	1.8649	22.1351	6.1081	21.5676	278.4865	348.4324	31.4054	2.1892	1293	Metabolism; Amino acid metabolism; Phenylalanine metabolism
ko00361	2.381	0.0476	0.4286	0	0.2857	0	0.0952	2.5714	0.2857	0.5714	62.381	72.6667	4.9524	0.2381	205.2857	Metabolism; Xenobiotics biodegradation and metabolism; Chlorocyclohexane and chlorobenzene degradation
ko00362	19.566	2.2453	0	0	0.566	0	0.9434	12.717	4.9434	24.283	113.7925	238.5849	15.717	0.4906	706.8302	Metabolism; Xenobiotics biodegradation and metabolism; Benzoate degradation
ko00363	0	0	0	0	0	0	0	0	0	0	0	316	0	0	2	Metabolism; Xenobiotics biodegradation and metabolism; Bisphenol degradation
ko00364	0	0	0	0	0	0	0	0	0	0	0	103.5556	0	0	156.3333	Metabolism; Xenobiotics biodegradation and metabolism; Fluorobenzoate degradation
ko00365	0	0	0	0	0	0	0	0	0	0	0	6.25	0	0	190.5	Metabolism; Xenobiotics biodegradation and metabolism; Furfural degradation
ko00380	41.4	4.8	3.4	2.625	8.675	2.8	3.225	30.725	10.375	37.3	173.725	457.8	26.45	4.625	1702.25	Metabolism; Amino acid metabolism; Tryptophan metabolism
ko00400	49.3611	5.6389	3.6111	1.0278	22.2222	1.25	3.8333	67.0833	13.6111	46.3889	466.2222	438.7778	64.1667	9.8611	1582.5	Metabolism; Amino acid metabolism; Phenylalanine, tyrosine and tryptophan biosynthesis
ko00410	34.9565	7.9565	4.8696	4	8	4.3913	4.7391	70.8261	13.8261	38.1739	374.8696	384.4783	48	7.3478	1912.6522	Metabolism; Metabolism of other amino acids; beta-Alanine metabolism
ko00430	43.1333	3.6	3.6	1.4	17.7333	2.4667	4	110.9333	12.7333	45	0	391.9333	62	10.4	1388.6	Metabolism; Metabolism of other amino acids; Taurine and hypotaurine metabolism
ko00440	2.9091	0.2273	0.4091	0	9.6818	0.1364	0.1364	9.1818	0.8182	3.3182	96.4545	57.5909	8.3182	0.5455	452.9091	Metabolism; Metabolism of other amino acids; Phosphonate and phosphinate metabolism
ko00450	60.2941	6.6471	4.3529	0.6471	53.8824	1.2941	5.3529	211.4118	17.7059	78.7059	643.2353	616.1176	108.8824	15.9412	2186.9412	Metabolism; Metabolism of other amino acids; Selenocompound metabolism
ko00470	37.8148	0	0	0	25.8889	1.4815	3.7037	93.9259	10.2963	40.6296	409.7037	386.4074	70.4815	10.5926	1666.3333	Metabolism; Metabolism of other amino acids; D-Amino acid metabolism
ko00480	31.7586	4.4483	1.1034	0.7241	7.1724	1.069	3.5172	65.5862	8.3793	76.3448	494.8966	599.4828	44.2069	4.3793	1674.5172	Metabolism; Metabolism of other amino acids; Glutathione metabolism
ko00500	47.7547	6.0377	4	0.1698	10.7925	0.717	4.4151	219.0943	14.0189	75.8679	555.3019	293.5849	103.2642	6.3585	1302.0566	Metabolism; Carbohydrate metabolism; Starch and sucrose metabolism
ko00510	0.6522	0.087	0.0435	0	0.0435	0.0435	0	0.2174	0.913	2.2174	10.4348	7.6957	0.7391	0	62.9565	Metabolism; Glycan biosynthesis and metabolism; N-Glycan biosynthesis
ko00511	34.4545	4.6364	4.1818	0.2727	9.2727	1.6364	5.6364	418	8.2727	32.1818	630.7273	124.2727	146.7273	4.9091	1465	Metabolism; Glycan biosynthesis and metabolism; Other glycan degradation
ko00512	0	0	0.625	0	0	1	0.125	0	0	0	0	0	0	0.25	0	Metabolism; Glycan biosynthesis and metabolism; Mucin type O-glycan biosynthesis
ko00513	2.3462	0.2308	0.1923	0	0.1923	0.4615	0.6538	0	0.8077	0	0	0	0	0.6154	0	Metabolism; Glycan biosynthesis and metabolism; Various types of N-glycan biosynthesis
ko00514	0	0.0625	0.75	0.1875	0.6875	0.9375	0.5625	0	1.375	0	0	0	0	0.875	0	Metabolism; Glycan biosynthesis and metabolism; Other types of O-glycan biosynthesis
ko00515	0	0	0	0	0.0909	0.0909	0	0	0.3636	0	0	0	0	0	0	Metabolism; Glycan biosynthesis and metabolism; Mannose type O-glycan biosynthesis
ko00520	49.4231	5.7051	4.7564	0.2949	42.6795	0.8462	6.0897	175.1538	16.2564	86.6282	518.4872	384.0128	97.6282	15.6923	1380.2051	Metabolism; Carbohydrate metabolism; Amino sugar and nucleotide sugar metabolism
ko00521	84.5455	7.3636	3.3636	0.2727	18.9091	0	6.8182	150.0909	31.9091	128.2727	348.2727	578.6364	88.8182	10.1818	2379.9091	Metabolism; Biosynthesis of other secondary metabolites; Streptomycin biosynthesis
ko00523	9.5	1.1	0.5333	0	1.6667	0.3	0.9333	29.7333	4.5667	11.6333	79.8333	84.7	14.3	0.6667	298.3333	Metabolism; Metabolism of terpenoids and polyketides; Polyketide sugar unit biosynthesis
ko00525	10.9286	0	0	0	0	0	0	37	0	0	96.6429	96.5	0	0	274.2143	Metabolism; Biosynthesis of other secondary metabolites; Acarbose and validamycin biosynthesis
ko00531	17.25	2.375	5.25	2.75	2.875	3	5.5	289.875	7	11.5	0	113.5	0	3.75	1339.5	Metabolism; Glycan biosynthesis and metabolism; Glycosaminoglycan degradation
ko00532	0	0	1.2222	0.7778	0.3333	1.2222	1.1111	0	1.1111	0	0	0	0	0.8889	0	Metabolism; Glycan biosynthesis and metabolism; Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate
ko00533	0	0.1429	0.1429	0	0.5714	0.1429	0.8571	0	0.7143	0.4286	0	0	0	0.2857	0	Metabolism; Glycan biosynthesis and metabolism; Glycosaminoglycan biosynthesis - keratan sulfate
ko00534	2.5455	0.3636	0.7273	1.0909	0.1818	1.3636	1.3636	0	1.3636	0	0.1818	1.5455	0.0909	0.9091	79.0909	Metabolism; Glycan biosynthesis and metabolism; Glycosaminoglycan biosynthesis - heparan sulfate / heparin
ko00540	0	0	0	0	0	0	0	24.9032	0	0	652.5806	332.3226	27.7742	0	724.2581	Metabolism; Glycan biosynthesis and metabolism; Lipopolysaccharide biosynthesis
ko00541	35.4694	0	3.2245	0	0	0	3.3061	0	12.7959	0	324.6122	266.9388	53.0816	15.6122	868.6735	Metabolism; Glycan biosynthesis and metabolism; O-Antigen nucleotide sugar biosynthesis
ko00543	4.7297	0.4324	0	0	0	0	0.5135	12.5135	1.9459	10.4865	217.5946	51.3243	16.6486	0.1081	164.7297	Metabolism; Glycan biosynthesis and metabolism; Exopolysaccharide biosynthesis
ko00550	63.5556	6.4815	7.4444	0	51.8148	0	8.7407	212.7778	16.8148	91.5185	751.6667	849.5185	157.5185	24.7037	2738.2963	Metabolism; Glycan biosynthesis and metabolism; Peptidoglycan biosynthesis
ko00552	6.1905	1.4762	5.381	0	3.4286	0.9048	4.0476	76.9524	3.9524	94.7619	179.4286	257.7619	86.8095	5.381	518.5238	Metabolism; Glycan biosynthesis and metabolism; Teichoic acid biosynthesis
ko00561	19.2826	2.6522	2.6304	1.6304	7.2826	2.2174	3.6739	81.5217	6.9783	34.8043	299.6957	203.9783	47.3043	4.5652	864.5217	Metabolism; Lipid metabolism; Glycerolipid metabolism
ko00562	18.0789	0.9211	0.7105	0.4211	3.4737	0.7105	2.2368	25.2368	4.7632	26.2895	79.3158	105.9211	14.0789	2	633.6316	Metabolism; Carbohydrate metabolism; Inositol phosphate metabolism
ko00564	24.2241	2.6724	2.2069	1.1897	10.7586	1.7241	3.3966	68.069	7.7759	39.569	429.6034	266.7759	46.2241	5.7414	890.6034	Metabolism; Lipid metabolism; Glycerophospholipid metabolism
ko00565	6	1.1875	3	1.9375	0.75	4.5	2.25	32.125	2.9375	13.5625	0	48.5625	16.125	2	254.0625	Metabolism; Lipid metabolism; Ether lipid metabolism
ko00571	53.7143	16.4286	0	0	2.7143	0	0	16.1429	31.1429	135.5714	15.8571	73.1429	27.1429	0	992.4286	Metabolism; Glycan biosynthesis and metabolism; Lipoarabinomannan (LAM) biosynthesis
ko00572	69	20.3333	0	0	3.6667	0	1.6667	21.8333	34.8333	155.1667	122.1667	113.1667	28.1667	0	981.6667	Metabolism; Glycan biosynthesis and metabolism; Arabinogalactan biosynthesis - Mycobacterium
ko00590	2.9231	1.0385	4.0385	3.6923	1.2308	3.5769	2.3846	0.6923	2.1923	1.8462	46.6538	50.6538	3.1923	3.4231	128.5	Metabolism; Lipid metabolism; Arachidonic acid metabolism
ko00600	12.52	1.48	1.84	0.56	4.28	1.24	3	101.12	6.92	17.72	283.96	79.56	42	1.84	467.64	Metabolism; Lipid metabolism; Sphingolipid metabolism
ko00601	0	0	0	0	0.0714	0.0714	0	0	0.2857	0	0	0	0	0	0	Metabolism; Glycan biosynthesis and metabolism; Glycosphingolipid biosynthesis - lacto and neolacto series
ko00603	10.375	1	0.875	0.625	0.75	1.75	5.625	151.75	3.125	1.375	0	106.125	45.875	1.375	687	Metabolism; Glycan biosynthesis and metabolism; Glycosphingolipid biosynthesis - globo and isoglobo series
ko00604	8.7143	0.8571	0.5714	0.4286	0.4286	0	1.4286	0	2.2857	0.8571	113.1429	0	31.7143	0.8571	593.4286	Metabolism; Glycan biosynthesis and metabolism; Glycosphingolipid biosynthesis - ganglio series
ko00620	68.1642	6.4328	4.4328	1.9104	34.791	2.2239	5.0299	104.7015	18.7612	90.4328	523.8657	617.1791	75.8209	13.7612	2566.7761	Metabolism; Carbohydrate metabolism; Pyruvate metabolism
ko00621	0	0.125	0	0	0	0	0	0	0.125	5.875	98.5	0	0	0	101.25	Metabolism; Xenobiotics biodegradation and metabolism; Dioxin degradation
ko00622	0	0	0	0	0	0	0	0	0	0	0	74.1765	0	0	219.1176	Metabolism; Xenobiotics biodegradation and metabolism; Xylene degradation
ko00623	0	0	0	0	0	0	0	0	0	0	0	47.8696	0	0	139.3913	Metabolism; Xenobiotics biodegradation and metabolism; Toluene degradation
ko00624	2.7727	0	0	0	0	0	0	0.3636	0	0	0	48.5	0.3182	0	78.9091	Metabolism; Xenobiotics biodegradation and metabolism; Polycyclic aromatic hydrocarbon degradation
ko00627	6.1556	1	0	0.3111	0.9111	0	0.2667	5.5556	2.0889	5.5333	44.6889	65.8667	5.0667	0	419.1556	Metabolism; Xenobiotics biodegradation and metabolism; Aminobenzoate degradation
ko00630	71.5098	5.7255	2.9216	1.9412	25.6078	2.098	3.3725	62.451	15.1373	59.549	600.4902	718.4706	63.3333	8.902	2324	Metabolism; Carbohydrate metabolism; Glyoxylate and dicarboxylate metabolism
ko00633	8.6364	0	0	0	28.6364	0	0.9091	28.9091	0.8182	5.4545	416.9091	91.8182	23.5455	0	128	Metabolism; Xenobiotics biodegradation and metabolism; Nitrotoluene degradation
ko00640	55.2917	5.875	2.5833	1.6458	23.75	1.5625	4.3125	93.5208	14.4167	59	572.1875	505.7917	65.375	9.2917	2074.8542	Metabolism; Carbohydrate metabolism; Propanoate metabolism
ko00642	0	0	0	0	0	0	0	0	0	0	0	51.25	0	0	183	Metabolism; Xenobiotics biodegradation and metabolism; Ethylbenzene degradation
ko00643	0	0	0	0	0	0	0	0	0	5.3846	0	177.0769	0	0	787.6154	Metabolism; Xenobiotics biodegradation and metabolism; Styrene degradation
ko00650	44.2105	5.2105	2.5263	1.386	14.5263	0.8246	3.0702	67.6842	15.2807	42.807	363.1754	444.2105	47.6316	6.8772	1582.2982	Metabolism; Carbohydrate metabolism; Butanoate metabolism
ko00660	70.2	5.8667	0.7333	0.2667	2.2667	0.1333	2.3333	22.2	18.6	57.8	525.2	475.2	42.4667	0.9333	2086	Metabolism; Carbohydrate metabolism; C5-Branched dibasic acid metabolism
ko00670	71.381	7.4762	5.5238	1.4286	39.5714	2.4762	4	108.2857	20.9048	55.1429	404.3333	475.9524	70.4762	13.0476	2106.5238	Metabolism; Metabolism of cofactors and vitamins; One carbon pool by folate
ko00680	24.3776	3.0714	2.5612	1.6939	21.6429	1.5	2.9184	51.2551	7.5	31.5204	235.6939	254.6735	32.9388	7.7245	760.8469	Metabolism; Energy metabolism; Methane metabolism
ko00710	63.8333	7.5	7.3889	2.1111	57.0556	3.5556	9.4444	118	22.1111	97.5	563.1111	802.3333	86	22.2222	2360.3333	Metabolism; Energy metabolism; Carbon fixation in photosynthetic organisms
ko00720	51.6897	0	0	0	0	0	3.5517	73.3966	0	0	354.8448	475.2586	47.7241	0	1649.3448	Metabolism; Energy metabolism; Carbon fixation pathways in prokaryotes
ko00730	53.4444	5.7778	3.6111	0.3333	29.8333	2.7778	6.4444	202.5556	15.9444	66.4444	753.4444	480.3333	116.5	10.8333	1582.1667	Metabolism; Metabolism of cofactors and vitamins; Thiamine metabolism
ko00740	16.8519	1.5926	2	0.5556	11.1481	0.5185	2.4074	68.2593	5.5556	13.8148	326.1852	154.7778	43	5.1111	778.3333	Metabolism; Metabolism of cofactors and vitamins; Riboflavin metabolism
ko00750	34.9167	4.0833	2.3333	0.5833	29.5833	1.25	4.5833	34.4167	11.5	22.75	472.1667	358	37.0833	12.1667	1401.25	Metabolism; Metabolism of cofactors and vitamins; Vitamin B6 metabolism
ko00760	36.6458	4.0625	2.9583	0.7083	15.125	1.3958	3.125	44.875	11.0417	34.6042	274.8542	294.2292	46.6042	6.0417	1206.5417	Metabolism; Metabolism of cofactors and vitamins; Nicotinate and nicotinamide metabolism
ko00770	72	9	3.1818	0.4091	35.9545	0.9091	5.6818	103.6818	16.4091	51	690.9091	606.6818	76.1364	13.3636	2671.5909	Metabolism; Metabolism of cofactors and vitamins; Pantothenate and CoA biosynthesis
ko00780	65.4167	6.5	3.25	0.3333	68.9167	0.4167	7.5	197.25	23.6667	58.5	717.3333	876.25	100.3333	16.5	2422.3333	Metabolism; Metabolism of cofactors and vitamins; Biotin metabolism
ko00785	43.1429	2.7143	0	0.2857	1.5714	0.1429	1.8571	12.4286	8.7143	32	146.4286	214.8571	22.2857	0.4286	1108.4286	Metabolism; Metabolism of cofactors and vitamins; Lipoic acid metabolism
ko00790	31.7619	4.2143	1.9286	0.4286	31.1905	1.381	2.4286	65.3095	10.7857	33.5952	338.9048	285.4048	41.8095	12.881	951.9762	Metabolism; Metabolism of cofactors and vitamins; Folate biosynthesis
ko00791	0	0	0	0	0	0	0	0	0	0	2.5	3.875	0	0	268.375	Metabolism; Xenobiotics biodegradation and metabolism; Atrazine degradation
ko00830	6.88	1.2	3.88	2.8	2.28	3.04	1.92	3	4.28	4.28	20.88	40.84	2.4	3	324.24	Metabolism; Metabolism of cofactors and vitamins; Retinol metabolism
ko00860	27.1571	2.9714	2.1857	0.9286	19.9286	1	2.5143	78.7429	7.5857	23.8143	354.6571	289.5714	48.9714	7.5857	1012.1571	Metabolism; Metabolism of cofactors and vitamins; Porphyrin metabolism
ko00900	47.9375	5.6562	4.3125	0.4062	32.0312	0.7188	3.625	68.25	17.25	67.0312	317	479.7812	61.8438	12.3438	1564.5625	Metabolism; Metabolism of terpenoids and polyketides; Terpenoid backbone biosynthesis
ko00903	38.5	0	0	0	0	0	0	0	0	0	0	696.1667	0	0	3184.3333	Metabolism; Metabolism of terpenoids and polyketides; Limonene and pinene degradation
ko00906	2.0714	0.2857	0	0	0.1429	0	0.0357	1.6786	0.6071	5.5714	0.6429	46.2857	1.1071	0.0714	118.1071	Metabolism; Metabolism of terpenoids and polyketides; Carotenoid biosynthesis
ko00909	0.1053	0	0	0	0	0	0	0	0	0	0	0.1316	0	0	14.5789	Metabolism; Metabolism of terpenoids and polyketides; Sesquiterpenoid and triterpenoid biosynthesis
ko00910	40.5882	2.7941	2.3824	1.2059	22.7353	0.5294	3.7647	95.9118	8.4118	22.6471	464.5	397.3824	43.5	7.4118	1130.2059	Metabolism; Energy metabolism; Nitrogen metabolism
ko00920	23.2364	1.8364	1.0182	0.6	4.1091	0.4727	1.5455	30.4364	5.6727	17.9636	376.0182	315.6909	31.5818	1.8	895.4727	Metabolism; Energy metabolism; Sulfur metabolism
ko00930	16.4545	3.7273	0	1.9091	0	0	0	3	7.0909	21.0909	9.4545	261.1818	5.4545	0	765.2727	Metabolism; Xenobiotics biodegradation and metabolism; Caprolactam degradation
ko00940	0	0	0	0	0	0	0	1.3125	0	0	0	0	0	0	0	Metabolism; Biosynthesis of other secondary metabolites; Phenylpropanoid biosynthesis
ko00960	19.5882	1.9412	0	0	0	0	0	22.0588	3.5294	7.9412	0	175.7059	17.5882	0	634.7059	Metabolism; Biosynthesis of other secondary metabolites; Tropane, piperidine and pyridine alkaloid biosynthesis
ko00965	20	0	0	0	0	0	0	0.75	1.25	0	0.5	31.25	3.5	0	59.75	Metabolism; Biosynthesis of other secondary metabolites; Betalain biosynthesis
ko00970	95.4545	0	0	0	124.6667	0	0	353.1212	28.1818	182.0606	920.8485	1093.3939	229.5152	0	3555.8788	Genetic Information Processing; Translation; Aminoacyl-tRNA biosynthesis
ko00980	11.3529	1.5294	2.9412	1.8824	3.0588	2.9412	1.9412	0	3.8824	0	0	188.1765	0	1.6471	737.3529	Metabolism; Xenobiotics biodegradation and metabolism; Metabolism of xenobiotics by cytochrome P450
ko00981	0	0	2.2222	0	1	0	0	0	0	0	0	0	0	0	0	Metabolism; Metabolism of terpenoids and polyketides; Insect hormone biosynthesis
ko00983	63.9444	8.1111	8	4.0556	32.3889	3.1667	9.5	177.8333	26.3333	85.8889	718.3333	587.9444	130.0556	14.8333	2265.1111	Metabolism; Xenobiotics biodegradation and metabolism; Drug metabolism - other enzymes
ko00984	3.375	1.375	0	0	0.375	0	0	1.75	3.25	16	2	264.375	2.875	0.25	27.25	Metabolism; Xenobiotics biodegradation and metabolism; Steroid degradation
ko00997	2.7143	0	0	0	0	0	0	0.1429	0	0.0476	0.0952	0	0.0476	0	0.4762	Metabolism; Biosynthesis of other secondary metabolites; Biosynthesis of various other secondary metabolites
ko00998	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32.2424	Metabolism; Biosynthesis of other secondary metabolites; Biosynthesis of various antibiotics
ko01040	12	2	3.0625	2.5625	0.8125	3.8125	2.125	0	6.25	0	0	0	0	3.625	521.25	Metabolism; Lipid metabolism; Biosynthesis of unsaturated fatty acids
ko01053	16.2105	1.6842	0	0	0.4211	0	0	2.7368	6.4211	19.6316	142.0526	54.6842	9.1579	0	245.9474	Metabolism; Metabolism of terpenoids and polyketides; Biosynthesis of siderophore group nonribosomal peptides
ko01501	10.8571	0	0	0	0	0	0	0	0	0	142.875	159.8393	33.1964	0	781.7857	Human Diseases; Drug resistance: antimicrobial; beta-Lactam resistance
ko01502	53.6364	0	0	0	0	0	0	0	0	0	0	496.5455	124.9091	0	2263.0909	Human Diseases; Drug resistance: antimicrobial; Vancomycin resistance
ko01503	6.7778	0	2.1852	0	0	0	3.1852	56.1111	0	0	496.5926	250.2593	54.0741	0	512.0741	Human Diseases; Drug resistance: antimicrobial; Cationic antimicrobial peptide (CAMP) resistance
ko01521	0.8529	0.9118	1	0.2647	0.9118	0.1765	1.2353	0	0.7647	0.8529	0	0.1471	0	0.7059	0.1176	Human Diseases; Drug resistance: antineoplastic; EGFR tyrosine kinase inhibitor resistance
ko01522	4.6956	0.6492	1.0104	0.6968	3.7933	0.7623	0.9612	12.2	1.878	7.0459	57.8037	53.3501	8.3564	1.883	187.2397	Human Diseases; Drug resistance: antineoplastic; Endocrine resistance
ko01523	46.3077	5	2.7692	1.8462	31.4615	1.3846	3.7692	83.7692	12.8462	36.1538	203.3846	265.6154	49.0769	11.4615	1116.3077	Human Diseases; Drug resistance: antineoplastic; Antifolate resistance
ko01524	12.3043	1.7826	0.8261	0.3043	11.7391	0.9565	2.6087	16.2609	2.3478	19.3913	68.7826	0	7.1739	4.7826	480.7391	Human Diseases; Drug resistance: antineoplastic; Platinum drug resistance
ko02010	23.6744	1.9496	1.2868	0	8.686	0.3023	2.1667	66.5078	0	19.3798	428.907	295.469	45.5853	3.5426	1428.3527	Environmental Information Processing; Membrane transport; ABC transporters
ko02020	15.348	1.608	0.796	0.104	9.04	0.228	1.892	36.704	4.36	19.996	389.384	274.556	34.736	3.28	770.996	Environmental Information Processing; Signal transduction; Two-component system
ko02024	32.0845	3.5352	0	0	11.6549	0	2.1549	71.9577	7.669	42.2887	287.7676	437.9507	46.3592	4.2958	2569.6549	Cellular Processes; Cellular community - prokaryotes; Quorum sensing
ko02026	17.3871	0	0	0	0	0	0	70.9355	4.4516	0	483.6774	217.871	38.9355	0	700.5806	Cellular Processes; Cellular community - prokaryotes; Biofilm formation - Escherichia coli
ko02030	14.8462	0	0	0	35.6923	0	0	95.6923	5.0769	4.3846	989.5385	826.4615	56.2308	14	1635.5385	Cellular Processes; Cell motility; Bacterial chemotaxis
ko02040	16.0357	0	0	0	127.8571	0	7	53.5714	3.9286	6.9286	880.5357	588	56.9643	33.9286	746.9643	Cellular Processes; Cell motility; Flagellar assembly
ko02060	27.5	0	0	0	0	0	7.4722	271.5556	9.7778	91.3333	785.75	313.7778	122.9722	0	634.0833	Environmental Information Processing; Membrane transport; Phosphotransferase system (PTS)
