function	S149	S150	S152	S153	S157	S113	S114	S130	S146	S802	S20	S27	S32	S45	S107	description
K00027	98.3776	86.4242	0.0000	0.0000	6.2585	0.0000	57.5338	224.6786	27.1357	389.3277	47.0900	140.3497	89.0563	16.6326	57.9892	ME2, sfcA, maeA; malate dehydrogenase (oxaloacetate-decarboxylating) [EC:1.1.1.38]
K00029	128.3675	211.1672	651.6529	29.6174	253.5758	51.2904	295.1400	20.0601	42.8773	0.0000	0.2252	193.9385	18.3295	189.5361	160.8331	E1.1.1.40, maeB; malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40]
K00030	17.7283	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	22.9655	0.0000	0.0000	0.1308	IDH3; isocitrate dehydrogenase (NAD+) [EC:1.1.1.41]
K00031	451.0587	253.3238	19.9253	0.0000	30.7981	24.2745	104.2127	21.3623	194.4370	216.5040	284.1355	396.8919	121.1374	16.0982	364.7676	IDH1, IDH2, icd; isocitrate dehydrogenase [EC:1.1.1.42]
K00032	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	4.3400	E1.1.1.43; phosphogluconate 2-dehydrogenase [EC:1.1.1.43]
K00033	308.0854	314.0121	0.0000	0.0000	29.6040	0.0000	52.8681	187.9404	58.6586	961.1604	360.0530	364.1790	201.3261	13.3939	214.5146	PGD, gnd, gntZ; 6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]
K00034	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	39.3840	0.0000	0.0000	6.4596	gdh; glucose 1-dehydrogenase [EC:1.1.1.47]
K00035	33.4121	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	18.7474	0.0000	85.2003	0.0000	0.0000	9.2648	gal; D-galactose 1-dehydrogenase [EC:1.1.1.48]
K00036	212.1490	225.9872	7.8947	0.0000	24.0578	8.1003	60.2451	155.5642	138.0362	898.7835	166.4563	591.8423	115.1350	0.0000	329.0354	G6PD, zwf; glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]
K00038	60.7210	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	6.8343	0.0000	0.0000	92.0495	E1.1.1.53; 3alpha(or 20beta)-hydroxysteroid dehydrogenase [EC:1.1.1.53]
K00039	24.6686	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	5.8104	0.0000	0.0000	0.0000	96.5630	0.0000	0.0000	3.0942	rbtD; ribitol 2-dehydrogenase [EC:1.1.1.56]
K00040	18.4205	32.6548	0.0000	0.0000	0.0000	0.0000	9.3871	185.1871	8.1117	8.2039	472.7134	93.2612	156.4768	6.0920	106.3458	uxuB; fructuronate reductase [EC:1.1.1.57]
K00041	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	7.2880	4.2880	3.7193	216.7347	10.5730	30.3224	0.0000	54.8535	uxaB; tagaturonate reductase [EC:1.1.1.58]
K00042	170.4529	0.0000	0.0000	0.0000	0.0000	0.0000	52.3413	651.2544	35.2408	14.5890	952.1284	194.3790	679.2664	22.6457	40.6233	garR, glxR; 2-hydroxy-3-oxopropionate reductase [EC:1.1.1.60]
K00044	0.0000	0.0000	67.3798	0.0000	20.4838	0.0000	0.0000	0.0000	17.3310	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	-
K00045	11.7685	16.0520	0.0000	0.0000	0.0000	0.0000	0.0000	5.5221	0.0000	50.3528	0.0000	47.5625	0.0000	0.0000	9.9824	E1.1.1.67, mtlK; mannitol 2-dehydrogenase [EC:1.1.1.67]
K00048	46.8795	42.5637	0.0000	0.0000	0.0000	0.0000	0.0000	112.3808	5.4056	25.9671	247.5299	13.6418	223.8732	0.0000	28.5630	fucO; lactaldehyde reductase [EC:1.1.1.77]
K00049	0.0000	0.0000	506.9625	1657.0407	88.0682	1391.7364	0.0000	0.0000	239.5950	0.0000	0.0000	0.0000	0.0000	585.1280	0.0000	GRHPR; glyoxylate/hydroxypyruvate reductase [EC:1.1.1.79 1.1.1.81]
K00052	623.1972	303.7547	0.0000	0.0000	13.8475	11.2790	0.0000	77.0322	253.0893	453.6042	329.0433	375.3262	206.8843	17.8775	359.6061	leuB, IMDH; 3-isopropylmalate dehydrogenase [EC:1.1.1.85]
K00053	715.5418	313.4253	60.2346	0.0000	851.8514	0.0000	110.8158	162.5541	165.0584	547.8322	495.2350	385.3836	335.5108	400.7609	418.6012	ilvC; ketol-acid reductoisomerase [EC:1.1.1.86]
K00054	38.9483	19.3181	19.0318	0.0000	11.5852	0.0000	71.4158	242.1696	152.1347	3.3673	18.2700	139.3003	58.5947	23.0644	37.3138	mvaA; hydroxymethylglutaryl-CoA reductase [EC:1.1.1.88]
K00055	3.9837	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	5.5207	0.0000	0.0000	14.6156	9.0092	0.0000	21.2874	E1.1.1.90; aryl-alcohol dehydrogenase [EC:1.1.1.90]
K00057	309.0355	45.2811	122.8858	0.0000	857.2760	70.3405	390.8937	696.0333	149.0106	398.4814	708.1567	487.9031	737.6079	581.2847	481.2853	gpsA; glycerol-3-phosphate dehydrogenase (NAD(P)+) [EC:1.1.1.94]
K00058	367.7748	648.4280	1350.6639	859.8369	119.2282	1319.1225	802.9221	633.4620	378.1876	386.6150	389.8331	635.8766	269.7951	877.1312	759.1738	serA, PHGDH; D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase [EC:1.1.1.95 1.1.1.399]
K00059	825.2352	87.9768	231.6608	18.4960	1399.1951	16.3453	492.8973	1261.5768	310.0408	617.2265	670.7572	1944.9841	889.0205	370.5282	1279.8688	fabG; 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]
K00060	158.9060	101.5918	0.0000	0.0000	21.0909	0.0000	14.3535	6.1902	29.5212	52.6738	358.4311	85.2227	163.0957	18.6304	112.9216	tdh; threonine 3-dehydrogenase [EC:1.1.1.103]
K00061	0.0000	0.0000	292.6132	443.3062	0.0000	191.9255	182.1392	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	394.0176	0.0000	RDH5; 11-cis-retinol dehydrogenase [EC:1.1.1.315]
K00064	4.4585	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	59.5263	131.9257	0.0000	0.0000	100.8967	E1.1.1.122; D-threo-aldose 1-dehydrogenase [EC:1.1.1.122]
K00065	23.5795	0.0000	15.5259	0.0000	0.0000	0.0000	79.4556	348.7429	16.5475	11.2229	420.6778	88.9657	324.7014	25.6810	195.5059	kduD; 2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase [EC:1.1.1.127]
K00066	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3843	5.1435	0.0000	5.2357	algD; GDP-mannose 6-dehydrogenase [EC:1.1.1.132]
K00067	258.1254	80.9474	0.0000	0.0000	32.8281	0.0000	51.0991	500.7972	93.6921	396.7791	375.1399	377.2553	396.4187	34.3266	313.6746	rfbD, rmlD; dTDP-4-dehydrorhamnose reductase [EC:1.1.1.133]
K00068	36.9676	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	2.7150	7.9870	0.0000	408.6024	19.1695	107.1598	0.0000	62.1835	srlD; sorbitol-6-phosphate 2-dehydrogenase [EC:1.1.1.140]
K00069	0.0000	0.0000	156.0604	0.0000	426.9889	0.0000	291.4227	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	189.1285	0.0000	HPGD; 15-hydroxyprostaglandin dehydrogenase (NAD) [EC:1.1.1.141]
K00070	0.0000	0.0000	196.1299	148.5675	0.0000	249.2017	81.3883	0.0000	65.1502	0.0000	0.0000	0.0000	0.0000	311.9402	0.0000	HSD3B; 3beta-hydroxy-Delta5-steroid dehydrogenase / steroid Delta-isomerase [EC:1.1.1.145 5.3.3.1]
K00071	0.0000	0.0000	113.3876	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	-
K00073	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	283.1371	1.4463	61.3008	0.0000	0.1263	allD; ureidoglycolate dehydrogenase (NAD+) [EC:1.1.1.350]
K00074	477.5742	338.7160	28.5252	0.0000	51.0166	27.8674	69.9270	807.4445	129.4962	589.0452	390.8498	395.2206	626.1318	80.3027	472.0418	paaH, hbd, fadB, mmgB; 3-hydroxybutyryl-CoA dehydrogenase [EC:1.1.1.157]
K00075	606.8686	223.5547	46.7578	0.0000	831.3015	26.2970	257.2156	716.4401	99.8182	1534.7144	981.9166	695.6169	883.2900	363.3822	516.8278	murB; UDP-N-acetylmuramate dehydrogenase [EC:1.3.1.98]
K00076	86.4249	0.0000	15.7074	17.6412	525.2642	0.0000	175.9944	258.6409	0.0000	10.2885	292.9568	494.1564	194.6551	253.8087	10.8563	hdhA; 7-alpha-hydroxysteroid dehydrogenase [EC:1.1.1.159]
K00077	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	32.4152	543.6187	0.0000	9.1039	189.1693	214.3561	331.2897	42.0399	115.3611	panE, apbA; 2-dehydropantoate 2-reductase [EC:1.1.1.169]
K00078	0.0000	0.0000	0.0000	113.5743	0.0000	245.8549	186.6550	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	DHDH; dihydrodiol dehydrogenase / D-xylose 1-dehydrogenase (NADP) [EC:1.3.1.20 1.1.1.179]
K00086	0.0000	0.0000	10.4535	0.0000	0.0000	0.0000	39.0411	275.9678	0.0000	0.0000	278.6053	12.6763	207.6434	0.0000	1.8312	dhaT; 1,3-propanediol dehydrogenase [EC:1.1.1.202]
K00087	1.9546	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	5.5245	2.7087	0.0000	336.9057	2.6421	54.5166	0.0000	0.2884	ygeS, xdhA; xanthine dehydrogenase molybdenum-binding subunit [EC:1.17.1.4]
K00088	1202.6396	666.7678	240.6811	0.0000	1017.6595	158.7447	823.6157	1052.8206	610.7634	1527.0833	687.8785	784.7323	1213.5509	500.5569	823.5651	IMPDH, guaB; IMP dehydrogenase [EC:1.1.1.205]
K00090	13.5232	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	10.6738	6.3683	0.0000	348.2005	247.8316	93.8195	10.0325	21.0739	ghrB; glyoxylate/hydroxypyruvate/2-ketogluconate reductase [EC:1.1.1.79 1.1.1.81 1.1.1.215]
K00094	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	4.0672	0.0000	0.0000	362.6663	13.1298	234.3081	0.0000	0.1274	E1.1.1.251, gatD; galactitol-1-phosphate 5-dehydrogenase [EC:1.1.1.251]
K00096	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3718	0.0000	0.0000	0.0000	38.5899	araM, egsA; glycerol-1-phosphate dehydrogenase [NAD(P)+] [EC:1.1.1.261]
K00097	89.8776	0.0000	13.1894	0.0000	793.1080	0.0000	93.3694	115.9208	6.2910	9.1224	297.7917	449.7455	78.4655	372.9632	210.5039	pdxA; 4-hydroxythreonine-4-phosphate dehydrogenase [EC:1.1.1.262]
K00099	335.7755	240.8643	21.3364	0.0000	561.5628	0.0000	0.0000	139.8598	129.3633	307.5106	10.2751	322.7713	105.3934	187.8287	237.4299	dxr; 1-deoxy-D-xylulose-5-phosphate reductoisomerase [EC:1.1.1.267]
K00100	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	32.4825	0.0000	0.0000	1.3153	0.0000	5.7755	0.0000	0.0000	bdhAB; butanol dehydrogenase [EC:1.1.1.-]
K00101	353.5832	57.7303	0.0000	0.0000	5.7451	0.0000	0.0000	27.9132	79.6112	246.9804	474.8925	259.4712	262.5350	0.0000	398.4893	lldD; L-lactate dehydrogenase (cytochrome) [EC:1.1.2.3]
K00102	48.3182	0.0000	0.0000	0.0000	5.1750	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	182.9312	9.5795	0.0000	19.5579	LDHD, dld; D-lactate dehydrogenase (cytochrome) [EC:1.1.2.4]
K00104	339.9009	50.1746	8.7326	9.9224	164.1992	0.0000	0.0000	441.3222	28.4764	67.3794	524.2568	472.8067	384.4470	366.7562	225.9346	glcD; glycolate oxidase [EC:1.1.3.15]
K00106	0.0000	0.0000	0.0000	0.0000	358.7170	0.0000	91.8100	0.0000	0.0000	0.0000	0.0000	9.2513	0.0000	0.0000	0.0000	XDH; xanthine dehydrogenase/oxidase [EC:1.17.1.4 1.17.3.2]
K00108	166.4340	339.9737	335.7722	308.1276	140.1862	266.8022	365.3172	19.5307	64.2715	264.6909	5.0984	341.1439	40.4224	34.9557	231.6740	betA, CHDH; choline dehydrogenase [EC:1.1.99.1]
K00109	0.0000	0.0000	768.7295	465.8472	62.3195	453.7899	319.0008	0.0000	395.4563	0.0000	0.0000	0.0000	0.0000	289.8367	0.0000	L2HGDH; 2-hydroxyglutarate dehydrogenase [EC:1.1.99.2]
K00111	787.0758	361.3910	24.0967	24.6428	34.8340	0.0000	225.2715	310.7342	253.9555	399.0967	1189.3542	369.5919	624.7024	23.9807	780.6738	glpA, glpD; glycerol-3-phosphate dehydrogenase [EC:1.1.5.3]
K00112	35.3117	19.5494	0.0000	21.6247	0.0000	0.0000	106.6181	11.6963	14.8967	3.4076	403.9827	16.3812	56.4278	0.0000	60.3856	glpB; glycerol-3-phosphate dehydrogenase subunit B [EC:1.1.5.3]
K00113	47.4035	0.0000	0.0000	10.9154	5.8409	0.0000	0.0000	5.1217	5.2284	7.1760	289.7477	14.0145	62.5697	0.0000	56.6375	glpC; glycerol-3-phosphate dehydrogenase subunit C [EC:1.1.5.3]
K00114	7.6659	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	7.2904	0.0000	25.5711	1.9263	0.0000	6.3822	exaA; alcohol dehydrogenase (cytochrome c) [EC:1.1.2.8]
K00116	347.5636	312.1668	0.0000	0.0000	4.9156	8.0510	30.6039	37.0415	516.5734	431.6970	288.7656	26.3178	134.5020	6.6248	164.7227	mqo; malate dehydrogenase (quinone) [EC:1.1.5.4]
K00117	51.5671	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	6.1482	13.0529	1.6930	474.5251	99.5738	181.6408	0.0000	207.2792	gcd; quinoprotein glucose dehydrogenase [EC:1.1.5.2]
K00121	136.7874	21.7350	997.1560	1331.3419	14.9770	635.8447	30.6657	108.7179	38.0154	22.7315	50.7383	355.9867	60.5646	8.6705	439.8122	frmA, ADH5, adhC; S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1]
K00122	13.5162	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	17.7609	0.0000	44.2245	2.8157	0.0000	0.3307	FDH; formate dehydrogenase [EC:1.17.1.9]
K00123	370.4899	0.0000	349.5143	756.0674	1037.3482	1472.0881	411.6481	157.2864	249.2625	63.3936	630.8961	514.7278	205.3827	883.8534	81.2543	fdoG, fdhF, fdwA; formate dehydrogenase major subunit [EC:1.17.1.9]
K00124	187.0348	0.0000	50.1898	35.9827	796.2916	0.0000	144.3127	29.5900	18.3870	11.0709	284.0409	401.6485	53.7755	299.2844	152.8908	fdoH, fdsB; formate dehydrogenase iron-sulfur subunit
K00126	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	55.7412	0.0000	0.0000	95.6029	fdsD; formate dehydrogenase subunit delta [EC:1.17.1.9]
K00127	35.1337	0.0000	11.9395	28.1320	849.2341	12.1795	84.9044	0.0000	19.5964	18.5910	212.9015	319.2404	69.1891	49.2975	155.4537	fdoI, fdsG; formate dehydrogenase subunit gamma
K00128	397.4745	1069.9681	370.1957	108.6363	120.7587	535.7281	252.4575	735.4522	262.8085	188.9047	306.7237	713.9918	430.2624	444.3460	992.1179	ALDH; aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]
K00129	69.9950	545.5545	431.1139	91.6044	185.2097	176.7765	401.6992	0.0000	43.7087	95.0941	0.0000	2.2527	0.0000	222.7222	0.0000	E1.2.1.5; aldehyde dehydrogenase (NAD(P)+) [EC:1.2.1.5]
K00130	278.0629	98.0072	16.9512	0.0000	9.9711	8.3387	21.1028	5.9985	68.5223	149.7452	92.4982	104.1996	109.4867	0.0000	183.1633	betB, gbsA; betaine-aldehyde dehydrogenase [EC:1.2.1.8]
K00131	3.1006	0.0000	50.5922	0.0000	46.3822	0.0000	72.7886	264.7172	0.0000	0.0000	106.6708	6.2883	340.3923	41.1313	1.6449	gapN; glyceraldehyde-3-phosphate dehydrogenase (NADP+) [EC:1.2.1.9]
K00132	0.0000	0.0000	0.0000	0.0000	0.0000	15.7503	0.0000	82.5832	0.0000	0.0000	1.0202	0.3347	8.9595	12.9340	0.0000	E1.2.1.10; acetaldehyde dehydrogenase (acetylating) [EC:1.2.1.10]
K00133	503.2943	227.1370	58.9696	13.4467	944.9432	34.6300	140.4390	460.3857	378.2615	171.9813	813.1408	416.8930	351.2009	588.9949	412.6733	asd; aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]
K00134	623.8755	689.5628	306.6456	0.0000	1960.0596	63.5180	326.9929	451.0439	348.3289	579.0231	693.7205	453.3517	604.0938	816.5986	657.8062	GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]
K00135	1009.9280	931.2671	62.4938	9.4127	69.1938	8.0838	100.7063	91.1802	484.6582	993.4945	445.2109	519.7604	369.0355	27.3681	1012.2486	gabD; succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase [EC:1.2.1.16 1.2.1.79 1.2.1.20]
K00137	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.4821	0.0000	0.0000	213.2662	8.8684	61.7947	0.0000	5.2928	prr; aminobutyraldehyde dehydrogenase [EC:1.2.1.19]
K00138	314.4691	354.5709	0.0000	0.0000	413.8021	0.0000	69.7348	38.8746	163.5312	350.7915	5.7451	125.5429	109.0647	6.4799	341.3716	aldB; aldehyde dehydrogenase [EC:1.2.1.-]
K00140	303.5412	161.1690	38.8896	176.9420	61.6909	535.9918	49.7482	15.4949	70.1208	236.2821	3.7589	237.4655	38.0333	261.8787	586.9874	mmsA, iolA, ALDH6A1; malonate-semialdehyde dehydrogenase (acetylating) / methylmalonate-semialdehyde dehydrogenase [EC:1.2.1.18 1.2.1.27]
K00141	101.6880	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	10.1611	8.4882	0.0000	2.1161	7.2808	18.5118	0.0000	19.1684	xylC; benzaldehyde dehydrogenase (NAD) [EC:1.2.1.28]
K00145	450.5494	521.1373	0.0000	0.0000	793.0579	11.7816	101.9652	34.8327	221.3987	218.7165	363.9810	416.8164	100.9721	376.3750	357.4212	argC; N-acetyl-gamma-glutamyl-phosphate reductase [EC:1.2.1.38]
K00147	296.3456	208.8036	9.6990	0.0000	11.7942	0.0000	47.6257	988.2666	56.6138	480.3635	873.5241	342.2602	746.7726	31.3445	414.1832	proA; glutamate-5-semialdehyde dehydrogenase [EC:1.2.1.41]
K00148	128.5591	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	8.6466	0.0000	13.9648	0.4202	17.8752	5.5347	0.0000	28.7842	fdhA; glutathione-independent formaldehyde dehydrogenase [EC:1.2.1.46]
K00149	24.6010	0.0000	1184.7470	1571.8819	83.4244	1037.9561	582.5610	0.0000	35.2920	0.0000	0.0000	0.0000	0.0000	589.1285	0.0000	-
K00151	187.3823	0.0000	0.0000	0.0000	19.1925	0.0000	0.0000	11.0226	56.9449	63.4892	13.5914	37.9048	79.6369	0.0000	130.2699	hpaE, hpcC; 5-carboxymethyl-2-hydroxymuconic-semialdehyde dehydrogenase [EC:1.2.1.60]
K00156	433.5310	209.9683	20.9009	7.9162	21.1222	0.0000	69.2681	62.2744	295.8174	565.5404	25.3305	50.3595	141.9381	0.0000	158.1368	poxB; pyruvate dehydrogenase (quinone) [EC:1.2.5.1]
K00157	19.7783	0.0000	106.5610	0.0000	64.7903	52.4202	132.6594	46.5852	0.0000	0.0000	0.0000	0.0000	14.9095	86.0937	0.0000	AOX; aldehyde oxidase [EC:1.2.3.1]
K00161	563.0013	84.3187	55.8904	184.4630	19.9984	648.1029	355.9391	304.3399	453.3191	1091.1977	33.1986	502.4416	215.9530	224.1217	630.7030	PDHA, pdhA; pyruvate dehydrogenase E1 component alpha subunit [EC:1.2.4.1]
K00162	459.2880	195.6613	24.7588	40.8193	22.5804	24.3590	92.4678	135.2201	59.7482	1092.5142	28.8846	408.1264	266.1894	49.6816	583.3155	PDHB, pdhB; pyruvate dehydrogenase E1 component beta subunit [EC:1.2.4.1]
K00163	162.5495	62.2647	0.0000	0.0000	5.4485	0.0000	0.0000	20.7512	134.1558	161.3060	238.6542	186.3019	107.4329	0.0000	271.4789	aceE; pyruvate dehydrogenase E1 component [EC:1.2.4.1]
K00164	99.3884	0.0000	3.2548	14.1899	55.0057	0.0000	47.4587	9.2007	2.2213	18.9484	358.2289	168.3619	158.8422	0.0000	237.2330	OGDH, sucA; 2-oxoglutarate dehydrogenase E1 component [EC:1.2.4.2]
K00166	14.3853	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	208.9674	5.5076	0.0000	154.9397	BCKDHA, bkdA1; 2-oxoisovalerate dehydrogenase E1 component alpha subunit [EC:1.2.4.4]
K00167	16.5324	22.8929	0.0000	0.0000	0.0000	0.0000	0.0000	2.1515	0.0000	4.2149	0.0000	206.8976	3.3410	0.0000	133.2025	BCKDHB, bkdA2; 2-oxoisovalerate dehydrogenase E1 component beta subunit [EC:1.2.4.4]
K00169	93.1152	0.0000	29.5031	0.0000	860.7488	0.0000	49.3667	61.0776	5.0999	0.0000	1.6747	27.1945	33.9394	248.2957	14.5153	porA; pyruvate ferredoxin oxidoreductase alpha subunit [EC:1.2.7.1]
K00170	74.7030	0.0000	0.0000	0.0000	825.7829	12.6053	0.0000	81.1715	0.0000	0.0000	1.0956	24.6475	18.0408	341.5932	6.4185	porB; pyruvate ferredoxin oxidoreductase beta subunit [EC:1.2.7.1]
K00171	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	63.0289	0.0000	0.0000	1.7015	0.0000	0.0000	32.3564	0.4220	porD; pyruvate ferredoxin oxidoreductase delta subunit [EC:1.2.7.1]
