function	S149	S150	S152	S153	S157	S113	S114	S130	S146	S802	S20	S27	S32	S45	S107	description
K00036	71.0000	14.0000	1.0000	0.0000	5.0000	1.0000	6.0000	108.0000	33.0000	312.0000	478.0000	1722.0000	51.0000	0.0000	3678.0000	G6PD, zwf; glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]
K00038	10.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	10.0000	0.0000	0.0000	517.0000	E1.1.1.53; 3alpha(or 20beta)-hydroxysteroid dehydrogenase [EC:1.1.1.53]
K00039	4.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	2.0000	0.0000	0.0000	0.0000	139.0000	0.0000	0.0000	17.0000	rbtD; ribitol 2-dehydrogenase [EC:1.1.1.56]
K00040	6.0000	2.0000	0.0000	0.0000	0.0000	0.0000	1.0000	140.0000	2.0000	3.0000	1344.0000	259.0000	70.0000	1.0000	1160.0000	uxuB; fructuronate reductase [EC:1.1.1.57]
K00041	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	5.0000	1.0000	1.0000	612.0000	24.0000	13.0000	0.0000	464.0000	uxaB; tagaturonate reductase [EC:1.1.1.58]
K00042	34.0000	0.0000	0.0000	0.0000	0.0000	0.0000	3.0000	266.0000	5.0000	3.0000	1629.0000	351.0000	175.0000	2.0000	282.0000	garR, glxR; 2-hydroxy-3-oxopropionate reductase [EC:1.1.1.60]
K00044	0.0000	0.0000	2.0000	0.0000	1.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	-
K00045	4.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	4.0000	0.0000	18.0000	0.0000	138.0000	0.0000	0.0000	112.0000	E1.1.1.67, mtlK; mannitol 2-dehydrogenase [EC:1.1.1.67]
K00048	12.0000	2.0000	0.0000	0.0000	0.0000	0.0000	0.0000	61.0000	1.0000	7.0000	553.0000	31.0000	76.0000	0.0000	248.0000	fucO; lactaldehyde reductase [EC:1.1.1.77]
K00049	0.0000	0.0000	7.0000	22.0000	2.0000	20.0000	0.0000	0.0000	7.0000	0.0000	0.0000	0.0000	0.0000	10.0000	0.0000	GRHPR; glyoxylate/hydroxypyruvate reductase [EC:1.1.1.79 1.1.1.81]
K00052	148.0000	13.0000	0.0000	0.0000	2.0000	1.0000	0.0000	39.0000	43.0000	114.0000	698.0000	809.0000	66.0000	2.0000	2921.0000	leuB, IMDH; 3-isopropylmalate dehydrogenase [EC:1.1.1.85]
K00053	163.0000	13.0000	5.0000	0.0000	116.0000	0.0000	8.0000	76.0000	27.0000	131.0000	1412.0000	790.0000	129.0000	41.0000	3222.0000	ilvC; ketol-acid reductoisomerase [EC:1.1.1.86]
K00054	11.0000	1.0000	2.0000	0.0000	2.0000	0.0000	6.0000	145.0000	31.0000	1.0000	45.0000	352.0000	22.0000	3.0000	361.0000	mvaA; hydroxymethylglutaryl-CoA reductase [EC:1.1.1.88]
K00055	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	32.0000	3.0000	0.0000	181.0000	E1.1.1.90; aryl-alcohol dehydrogenase [EC:1.1.1.90]
K00057	73.0000	2.0000	11.0000	0.0000	109.0000	6.0000	27.0000	339.0000	25.0000	99.0000	1392.0000	973.0000	227.0000	56.0000	3730.0000	gpsA; glycerol-3-phosphate dehydrogenase (NAD(P)+) [EC:1.1.1.94]
K00058	104.0000	26.0000	23.0000	12.0000	9.0000	20.0000	18.0000	275.0000	37.0000	118.0000	896.0000	1536.0000	91.0000	18.0000	7305.0000	serA, PHGDH; D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase [EC:1.1.1.95 1.1.1.399]
K00059	144.0000	4.0000	14.0000	1.0000	141.0000	1.0000	24.0000	440.0000	38.0000	135.0000	967.0000	2924.0000	194.0000	28.0000	7690.0000	fabG; 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]
K00060	32.0000	4.0000	0.0000	0.0000	3.0000	0.0000	1.0000	3.0000	5.0000	13.0000	715.0000	176.0000	50.0000	2.0000	893.0000	tdh; threonine 3-dehydrogenase [EC:1.1.1.103]
K00061	0.0000	0.0000	6.0000	8.0000	0.0000	4.0000	3.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	10.0000	0.0000	RDH5; 11-cis-retinol dehydrogenase [EC:1.1.1.315]
K00064	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	117.0000	269.0000	0.0000	0.0000	769.0000	E1.1.1.122; D-threo-aldose 1-dehydrogenase [EC:1.1.1.122]
K00065	4.0000	0.0000	1.0000	0.0000	0.0000	0.0000	4.0000	127.0000	2.0000	2.0000	627.0000	131.0000	74.0000	2.0000	1131.0000	kduD; 2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase [EC:1.1.1.127]
K00066	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	2.0000	0.0000	52.0000	algD; GDP-mannose 6-dehydrogenase [EC:1.1.1.132]
K00067	73.0000	3.0000	0.0000	0.0000	5.0000	0.0000	3.0000	211.0000	15.0000	92.0000	652.0000	684.0000	104.0000	3.0000	2960.0000	rfbD, rmlD; dTDP-4-dehydrorhamnose reductase [EC:1.1.1.133]
K00068	7.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	0.0000	628.0000	29.0000	25.0000	0.0000	475.0000	srlD; sorbitol-6-phosphate 2-dehydrogenase [EC:1.1.1.140]
K00069	0.0000	0.0000	2.0000	0.0000	9.0000	0.0000	3.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	3.0000	0.0000	HPGD; 15-hydroxyprostaglandin dehydrogenase (NAD) [EC:1.1.1.141]
K00070	0.0000	0.0000	3.0000	2.0000	0.0000	4.0000	1.0000	0.0000	2.0000	0.0000	0.0000	0.0000	0.0000	6.0000	0.0000	HSD3B; 3beta-hydroxy-Delta5-steroid dehydrogenase / steroid Delta-isomerase [EC:1.1.1.145 5.3.3.1]
K00071	0.0000	0.0000	3.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	-
K00073	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	578.0000	3.0000	19.0000	0.0000	1.0000	allD; ureidoglycolate dehydrogenase (NAD+) [EC:1.1.1.350]
K00074	93.0000	12.0000	2.0000	0.0000	6.0000	2.0000	4.0000	324.0000	18.0000	120.0000	659.0000	722.0000	160.0000	7.0000	3215.0000	paaH, hbd, fadB, mmgB; 3-hydroxybutyryl-CoA dehydrogenase [EC:1.1.1.157]
K00075	145.0000	11.0000	3.0000	0.0000	88.0000	2.0000	17.0000	310.0000	18.0000	367.0000	1872.0000	1332.0000	245.0000	29.0000	4042.0000	murB; UDP-N-acetylmuramate dehydrogenase [EC:1.3.1.98]
K00076	15.0000	0.0000	1.0000	1.0000	55.0000	0.0000	9.0000	94.0000	0.0000	2.0000	436.0000	775.0000	44.0000	20.0000	64.0000	hdhA; 7-alpha-hydroxysteroid dehydrogenase [EC:1.1.1.159]
K00077	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	2.0000	239.0000	0.0000	2.0000	342.0000	394.0000	91.0000	4.0000	824.0000	panE, apbA; 2-dehydropantoate 2-reductase [EC:1.1.1.169]
K00078	0.0000	0.0000	0.0000	2.0000	0.0000	5.0000	3.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	DHDH; dihydrodiol dehydrogenase / D-xylose 1-dehydrogenase (NADP) [EC:1.3.1.20 1.1.1.179]
K00086	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	3.0000	151.0000	0.0000	0.0000	628.0000	29.0000	71.0000	0.0000	16.0000	dhaT; 1,3-propanediol dehydrogenase [EC:1.1.1.202]
K00087	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	6.0000	1.0000	0.0000	1506.0000	12.0000	37.0000	0.0000	5.0000	ygeS, xdhA; xanthine dehydrogenase molybdenum-binding subunit [EC:1.17.1.4]
K00088	363.0000	36.0000	27.0000	0.0000	197.0000	4.0000	40.0000	723.0000	113.0000	474.0000	1952.0000	2250.0000	451.0000	72.0000	8429.0000	IMPDH, guaB; IMP dehydrogenase [EC:1.1.1.205]
K00090	3.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	5.0000	1.0000	0.0000	660.0000	481.0000	27.0000	1.0000	160.0000	ghrB; glyoxylate/hydroxypyruvate/2-ketogluconate reductase [EC:1.1.1.79 1.1.1.81 1.1.1.215]
K00094	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	2.0000	0.0000	0.0000	734.0000	27.0000	72.0000	0.0000	1.0000	E1.1.1.251, gatD; galactitol-1-phosphate 5-dehydrogenase [EC:1.1.1.251]
K00096	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	396.0000	araM, egsA; glycerol-1-phosphate dehydrogenase [NAD(P)+] [EC:1.1.1.261]
K00097	20.0000	0.0000	1.0000	0.0000	99.0000	0.0000	6.0000	54.0000	1.0000	2.0000	573.0000	911.0000	23.0000	35.0000	1621.0000	pdxA; 4-hydroxythreonine-4-phosphate dehydrogenase [EC:1.1.1.262]
K00099	91.0000	12.0000	2.0000	0.0000	83.0000	0.0000	0.0000	77.0000	26.0000	90.0000	24.0000	757.0000	38.0000	21.0000	2143.0000	dxr; 1-deoxy-D-xylulose-5-phosphate reductoisomerase [EC:1.1.1.267]
K00100	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	18.0000	0.0000	0.0000	3.0000	0.0000	2.0000	0.0000	0.0000	bdhAB; butanol dehydrogenase [EC:1.1.1.-]
K00101	96.0000	3.0000	0.0000	0.0000	1.0000	0.0000	0.0000	16.0000	16.0000	73.0000	1100.0000	585.0000	93.0000	0.0000	3577.0000	lldD; L-lactate dehydrogenase (cytochrome) [EC:1.1.2.3]
K00102	15.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	509.0000	4.0000	0.0000	209.0000	LDHD, dld; D-lactate dehydrogenase (cytochrome) [EC:1.1.2.4]
K00104	32.0000	3.0000	1.0000	1.0000	31.0000	0.0000	0.0000	292.0000	7.0000	17.0000	1505.0000	1318.0000	164.0000	52.0000	2302.0000	glcD; glycolate oxidase [EC:1.1.3.15]
K00106	0.0000	0.0000	0.0000	0.0000	8.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	3.0000	0.0000	0.0000	0.0000	XDH; xanthine dehydrogenase/oxidase [EC:1.17.1.4 1.17.3.2]
K00108	63.0000	22.0000	14.0000	10.0000	16.0000	10.0000	14.0000	15.0000	17.0000	109.0000	15.0000	1116.0000	21.0000	2.0000	2883.0000	betA, CHDH; choline dehydrogenase [EC:1.1.99.1]
K00109	0.0000	0.0000	15.0000	8.0000	2.0000	9.0000	5.0000	0.0000	15.0000	0.0000	0.0000	0.0000	0.0000	7.0000	0.0000	L2HGDH; 2-hydroxyglutarate dehydrogenase [EC:1.1.99.2]
K00111	277.0000	25.0000	3.0000	3.0000	8.0000	0.0000	24.0000	220.0000	70.0000	157.0000	3533.0000	1163.0000	284.0000	4.0000	9559.0000	glpA, glpD; glycerol-3-phosphate dehydrogenase [EC:1.1.5.3]
K00112	10.0000	1.0000	0.0000	2.0000	0.0000	0.0000	9.0000	7.0000	3.0000	1.0000	990.0000	41.0000	21.0000	0.0000	584.0000	glpB; glycerol-3-phosphate dehydrogenase subunit B [EC:1.1.5.3]
K00113	13.0000	0.0000	0.0000	1.0000	1.0000	0.0000	0.0000	3.0000	1.0000	2.0000	671.0000	34.0000	22.0000	0.0000	528.0000	glpC; glycerol-3-phosphate dehydrogenase subunit C [EC:1.1.5.3]
K00114	3.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	3.0000	0.0000	89.0000	1.0000	0.0000	85.0000	exaA; alcohol dehydrogenase (cytochrome c) [EC:1.1.2.8]
K00116	116.0000	19.0000	0.0000	0.0000	1.0000	1.0000	3.0000	26.0000	123.0000	150.0000	922.0000	79.0000	63.0000	1.0000	1900.0000	mqo; malate dehydrogenase (quinone) [EC:1.1.5.4]
K00117	29.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	7.0000	5.0000	1.0000	2207.0000	486.0000	129.0000	0.0000	3745.0000	gcd; quinoprotein glucose dehydrogenase [EC:1.1.5.2]
K00121	34.0000	1.0000	13.0000	22.0000	1.0000	7.0000	1.0000	58.0000	3.0000	6.0000	114.0000	783.0000	20.0000	1.0000	3685.0000	frmA, ADH5, adhC; S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1]
K00122	4.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	5.0000	0.0000	136.0000	1.0000	0.0000	3.0000	FDH; formate dehydrogenase [EC:1.17.1.9]
K00123	71.0000	0.0000	12.0000	12.0000	280.0000	24.0000	13.0000	107.0000	10.0000	11.0000	602.0000	1134.0000	40.0000	106.0000	634.0000	fdoG, fdhF, fdwA; formate dehydrogenase major subunit [EC:1.17.1.9]
K00124	44.0000	0.0000	3.0000	2.0000	71.0000	0.0000	8.0000	13.0000	3.0000	3.0000	499.0000	795.0000	17.0000	20.0000	1717.0000	fdoH, fdsB; formate dehydrogenase iron-sulfur subunit
K00126	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	28.0000	0.0000	0.0000	167.0000	fdsD; formate dehydrogenase subunit delta [EC:1.17.1.9]
K00127	5.0000	0.0000	1.0000	2.0000	113.0000	1.0000	4.0000	0.0000	2.0000	3.0000	264.0000	427.0000	13.0000	5.0000	670.0000	fdoI, fdsG; formate dehydrogenase subunit gamma
K00128	75.0000	13.0000	20.0000	4.0000	9.0000	11.0000	7.0000	474.0000	13.0000	23.0000	821.0000	2135.0000	176.0000	13.0000	11879.0000	ALDH; aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]
K00129	7.0000	10.0000	22.0000	3.0000	11.0000	7.0000	12.0000	0.0000	3.0000	10.0000	0.0000	2.0000	0.0000	9.0000	0.0000	E1.2.1.5; aldehyde dehydrogenase (NAD(P)+) [EC:1.2.1.5]
K00130	90.0000	6.0000	2.0000	0.0000	2.0000	1.0000	2.0000	4.0000	16.0000	52.0000	265.0000	305.0000	48.0000	0.0000	2049.0000	betB, gbsA; betaine-aldehyde dehydrogenase [EC:1.2.1.8]
K00131	1.0000	0.0000	6.0000	0.0000	9.0000	0.0000	7.0000	181.0000	0.0000	0.0000	300.0000	18.0000	144.0000	6.0000	18.0000	gapN; glyceraldehyde-3-phosphate dehydrogenase (NADP+) [EC:1.2.1.9]
K00132	0.0000	0.0000	0.0000	0.0000	0.0000	2.0000	0.0000	59.0000	0.0000	0.0000	3.0000	1.0000	4.0000	2.0000	0.0000	E1.2.1.10; acetaldehyde dehydrogenase (acetylating) [EC:1.2.1.10]
K00133	121.0000	10.0000	5.0000	1.0000	124.0000	3.0000	10.0000	216.0000	65.0000	43.0000	1659.0000	884.0000	106.0000	51.0000	3212.0000	asd; aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]
K00134	160.0000	35.0000	12.0000	0.0000	267.0000	2.0000	23.0000	220.0000	41.0000	174.0000	1353.0000	906.0000	180.0000	77.0000	5466.0000	GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]
K00135	333.0000	57.0000	8.0000	1.0000	14.0000	1.0000	10.0000	63.0000	114.0000	351.0000	1255.0000	1496.0000	160.0000	4.0000	10951.0000	gabD; succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase [EC:1.2.1.16 1.2.1.79 1.2.1.20]
K00137	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	591.0000	25.0000	26.0000	0.0000	57.0000	prr; aminobutyraldehyde dehydrogenase [EC:1.2.1.19]
K00138	107.0000	22.0000	0.0000	0.0000	85.0000	0.0000	7.0000	28.0000	40.0000	125.0000	17.0000	370.0000	49.0000	1.0000	3923.0000	aldB; aldehyde dehydrogenase [EC:1.2.1.-]
K00140	98.0000	10.0000	1.0000	3.0000	5.0000	12.0000	5.0000	11.0000	17.0000	84.0000	11.0000	693.0000	17.0000	8.0000	6651.0000	mmsA, iolA, ALDH6A1; malonate-semialdehyde dehydrogenase (acetylating) / methylmalonate-semialdehyde dehydrogenase [EC:1.2.1.18 1.2.1.27]
K00141	33.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	7.0000	2.0000	0.0000	6.0000	21.0000	8.0000	0.0000	212.0000	xylC; benzaldehyde dehydrogenase (NAD) [EC:1.2.1.28]
K00145	103.0000	22.0000	0.0000	0.0000	109.0000	1.0000	7.0000	17.0000	38.0000	52.0000	712.0000	779.0000	30.0000	39.0000	2684.0000	argC; N-acetyl-gamma-glutamyl-phosphate reductase [EC:1.2.1.38]
K00147	85.0000	11.0000	1.0000	0.0000	2.0000	0.0000	4.0000	583.0000	12.0000	132.0000	2123.0000	863.0000	276.0000	4.0000	3916.0000	proA; glutamate-5-semialdehyde dehydrogenase [EC:1.2.1.41]
K00148	35.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	5.0000	0.0000	4.0000	1.0000	37.0000	2.0000	0.0000	261.0000	fdhA; glutathione-independent formaldehyde dehydrogenase [EC:1.2.1.46]
K00149	2.0000	0.0000	29.0000	31.0000	4.0000	30.0000	13.0000	0.0000	2.0000	0.0000	0.0000	0.0000	0.0000	13.0000	0.0000	-
K00151	64.0000	0.0000	0.0000	0.0000	4.0000	0.0000	0.0000	8.0000	14.0000	23.0000	39.0000	117.0000	35.0000	0.0000	1479.0000	hpaE, hpcC; 5-carboxymethyl-2-hydroxymuconic-semialdehyde dehydrogenase [EC:1.2.1.60]
K00156	155.0000	15.0000	3.0000	1.0000	5.0000	0.0000	8.0000	30.0000	76.0000	231.0000	86.0000	175.0000	66.0000	0.0000	2097.0000	poxB; pyruvate dehydrogenase (quinone) [EC:1.2.5.1]
K00157	1.0000	0.0000	2.0000	0.0000	2.0000	1.0000	2.0000	5.0000	0.0000	0.0000	0.0000	0.0000	1.0000	2.0000	0.0000	AOX; aldehyde oxidase [EC:1.2.3.1]
K00161	139.0000	4.0000	5.0000	2.0000	3.0000	9.0000	13.0000	156.0000	30.0000	278.0000	70.0000	1058.0000	70.0000	6.0000	5204.0000	PDHA, pdhA; pyruvate dehydrogenase E1 component alpha subunit [EC:1.2.4.1]
K00162	105.0000	8.0000	2.0000	3.0000	3.0000	2.0000	6.0000	64.0000	11.0000	251.0000	55.0000	872.0000	77.0000	5.0000	4755.0000	PDHB, pdhB; pyruvate dehydrogenase E1 component beta subunit [EC:1.2.4.1]
K00163	95.0000	7.0000	0.0000	0.0000	2.0000	0.0000	0.0000	10.0000	9.0000	104.0000	1237.0000	993.0000	86.0000	0.0000	5224.0000	aceE; pyruvate dehydrogenase E1 component [EC:1.2.4.1]
K00164	72.0000	0.0000	1.0000	2.0000	2.0000	0.0000	6.0000	12.0000	1.0000	14.0000	1926.0000	983.0000	132.0000	0.0000	5871.0000	OGDH, sucA; 2-oxoglutarate dehydrogenase E1 component [EC:1.2.4.2]
K00166	4.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	514.0000	2.0000	0.0000	1438.0000	BCKDHA, bkdA1; 2-oxoisovalerate dehydrogenase E1 component alpha subunit [EC:1.2.4.4]
K00167	4.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	1.0000	0.0000	444.0000	1.0000	0.0000	1019.0000	BCKDHB, bkdA2; 2-oxoisovalerate dehydrogenase E1 component beta subunit [EC:1.2.4.4]
K00169	26.0000	0.0000	3.0000	0.0000	143.0000	0.0000	4.0000	36.0000	1.0000	0.0000	4.0000	66.0000	13.0000	31.0000	146.0000	porA; pyruvate ferredoxin oxidoreductase alpha subunit [EC:1.2.7.1]
K00170	16.0000	0.0000	0.0000	0.0000	106.0000	1.0000	0.0000	36.0000	0.0000	0.0000	2.0000	46.0000	5.0000	33.0000	51.0000	porB; pyruvate ferredoxin oxidoreductase beta subunit [EC:1.2.7.1]
