species	S149	S150	S152	S153	S157	S113	S114	S130	S146	S802	S20	S27	S32	S45	S107	taxonomy
s_Unclassified_p_Proteobacteria	716	70	3266	3173	906	3369	1832	192	1127	106	3883	23313	442	3079	85215	d_Bacteria;p_Proteobacteria;c_Unclassified_p_Proteobacteria;o_Unclassified_p_Proteobacteria;f_Unclassified_p_Proteobacteria;g_Unclassified_p_Proteobacteria;s_Unclassified_p_Proteobacteria
s_Giesbergeria sp017998735	557	3	0	0	10	0	1	51	101	14	23	120757	64	1	2469	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Burkholderiales;f_Burkholderiaceae;g_Giesbergeria;s_Giesbergeria sp017998735
s_Unclassified_g_Paracoccus	3390	36	5	0	33	10	4	234	18	244	68	109769	448	2	7132	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhodobacterales;f_Rhodobacteraceae;g_Paracoccus;s_Unclassified_g_Paracoccus
s_Unclassified_f_Rhizobiaceae A	68	4	0	0	1	0	1	2	23	14	13	545	146	0	116367	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales A;f_Rhizobiaceae A;g_Unclassified_f_Rhizobiaceae A;s_Unclassified_f_Rhizobiaceae A
s_Unclassified_g_Stenotrophomonas	821	1	4	0	14	0	1	116	26	13	23	1828	1407	1	109441	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Xanthomonadales;f_Xanthomonadaceae;g_Stenotrophomonas;s_Unclassified_g_Stenotrophomonas
s_Unclassified_f_Microbacteriaceae	730	63	30	28	19	37	29	81	161	175	45	1112	168	19	105692	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Actinomycetales;f_Microbacteriaceae;g_Unclassified_f_Microbacteriaceae;s_Unclassified_f_Microbacteriaceae
s_Boudabousia marimammalium	1071	285	7	0	51	28	62	180	585	2034	540	4970	3347	18	95015	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Actinomycetales;f_Actinomycetaceae;g_Boudabousia;s_Boudabousia marimammalium
s_Paraclostridium tenue	105	9	177	1	22	0	243	6328	33	13	92857	214	4878	119	2862	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Peptostreptococcales;f_Peptostreptococcaceae;g_Paraclostridium;s_Paraclostridium tenue
s_Paenochrobactrum gallinarii	89	4	1	0	11	0	0	14	7	10	13	302	170	0	106758	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales A;f_Rhizobiaceae A;g_Paenochrobactrum;s_Paenochrobactrum gallinarii
s_Unclassified_o_Actinomycetales	2644	280	28	25	59	14	55	242	727	1481	188	2300	1242	40	87457	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Actinomycetales;f_Unclassified_o_Actinomycetales;g_Unclassified_o_Actinomycetales;s_Unclassified_o_Actinomycetales
s_Lysobacter sp015209725	73	2	0	0	0	1	0	76	2	11	7	4294	39	0	88652	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Xanthomonadales;f_Xanthomonadaceae;g_Lysobacter;s_Lysobacter sp015209725
s_Flaviflexus huanghaiensis	24	3	0	0	1	0	0	7	2	14	6	132	35	0	85553	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Actinomycetales;f_Actinomycetaceae;g_Flaviflexus;s_Flaviflexus huanghaiensis
s_Unclassified_g_Arachnia	1355	20	0	0	2	0	5	149	32	62	32	1969	339	0	81562	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Propionibacteriales;f_Propionibacteriaceae;g_Arachnia;s_Unclassified_g_Arachnia
s_Pseudomonas E fluorescens BA	161	4	4	2	10	3	2	21	8	27	12	676	327	0	80369	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Pseudomonadales;f_Pseudomonadaceae;g_Pseudomonas E;s_Pseudomonas E fluorescens BA
s_Unclassified_f_Peptostreptococcaceae	2548	1	121	0	5	0	142	6655	15	87	11738	36	1318	54	56161	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Peptostreptococcales;f_Peptostreptococcaceae;g_Unclassified_f_Peptostreptococcaceae;s_Unclassified_f_Peptostreptococcaceae
s_Unclassified_g_Helicobacter G	1211	36	668	116	41079	162	910	1007	77	22	518	12467	22	12536	7756	d_Bacteria;p_Campylobacterota;c_Campylobacteria;o_Campylobacterales;f_Helicobacteraceae;g_Helicobacter G;s_Unclassified_g_Helicobacter G
s_Unclassified_g_Pseudomonas E	391	14	19	29	30	21	9	116	50	31	22	5240	636	6	70567	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Pseudomonadales;f_Pseudomonadaceae;g_Pseudomonas E;s_Unclassified_g_Pseudomonas E
s_Ochrobactrum A quorumnocens	21	0	0	0	1	1	1	0	2	9	5	739	56	0	74855	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales A;f_Rhizobiaceae A;g_Ochrobactrum A;s_Ochrobactrum A quorumnocens
s_Unclassified_c_Gammaproteobacteria	324	55	384	287	170	346	384	118	473	63	22348	23067	957	341	25451	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Unclassified_c_Gammaproteobacteria;f_Unclassified_c_Gammaproteobacteria;g_Unclassified_c_Gammaproteobacteria;s_Unclassified_c_Gammaproteobacteria
s_Unclassified_g_Cetobacterium A	28	19	191	33	242	10	87	53821	7	290	4838	1679	7930	1279	508	d_Bacteria;p_Fusobacteriota;c_Fusobacteriia;o_Fusobacteriales;f_Fusobacteriaceae;g_Cetobacterium A;s_Unclassified_g_Cetobacterium A
s_Pseudochrobactrum saccharolyticum	25	0	0	0	2	0	0	2	19	3	6	264	91	0	68657	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales A;f_Rhizobiaceae A;g_Pseudochrobactrum;s_Pseudochrobactrum saccharolyticum
s_Alcaligenes pakistanensis	39	0	9	3	43	2	7	3	1	7	19	184	108	0	66743	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Burkholderiales;f_Burkholderiaceae;g_Alcaligenes;s_Alcaligenes pakistanensis
s_Ligilactobacillus aviarius B	6	1	0	1	22	12	440	7814	169	11041	3748	39306	958	40	46	d_Bacteria;p_Firmicutes;c_Bacilli;o_Lactobacillales;f_Lactobacillaceae;g_Ligilactobacillus;s_Ligilactobacillus aviarius B
s_Paraclostridium sordellii	233	7	221	0	13	3	366	33391	6	35	20100	56	2229	104	5837	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Peptostreptococcales;f_Peptostreptococcaceae;g_Paraclostridium;s_Paraclostridium sordellii
s_Stenotrophomonas maltophilia	416	1	0	0	5	0	1	70	5	3	7	679	597	0	60412	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Xanthomonadales;f_Xanthomonadaceae;g_Stenotrophomonas;s_Stenotrophomonas maltophilia
s_Paracoccus sulfuroxidans	1994	57	1	1	131	5	2	73	43	2997	62	45094	814	2	10600	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhodobacterales;f_Rhodobacteraceae;g_Paracoccus;s_Paracoccus sulfuroxidans
s_Stenotrophomonas maltophilia L	302	3	4	1	7	2	3	39	30	3	9	746	547	0	59336	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Xanthomonadales;f_Xanthomonadaceae;g_Stenotrophomonas;s_Stenotrophomonas maltophilia L
s_Unclassified_g_Shinella	297	5	1	0	37	1	2	25	20	58	13	15074	190	1	44166	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Rhizobiaceae;g_Shinella;s_Unclassified_g_Shinella
s_Catellicoccus marimammalium	3	2	4479	41	2223	440	527	1184	1	19	338	72	47141	2182	88	d_Bacteria;p_Firmicutes;c_Bacilli;o_Lactobacillales;f_Catellicoccaceae;g_Catellicoccus;s_Catellicoccus marimammalium
s_Unclassified_f_Clostridiaceae	123	1	80	9	9	0	145	16718	5	2	27657	1001	6530	71	2440	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Clostridiales;f_Clostridiaceae;g_Unclassified_f_Clostridiaceae;s_Unclassified_f_Clostridiaceae
s_Brevundimonas naejangsanensis A	284	3	0	0	13	0	1	35	11	22	21	40914	254	1	13085	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Caulobacterales;f_Caulobacteraceae;g_Brevundimonas;s_Brevundimonas naejangsanensis A
s_Ligilactobacillus aviarius	8	1	0	0	12	9	356	6833	196	9872	2815	32301	724	33	40	d_Bacteria;p_Firmicutes;c_Bacilli;o_Lactobacillales;f_Lactobacillaceae;g_Ligilactobacillus;s_Ligilactobacillus aviarius
s_Leucobacter sp017990305	23	2	1	0	1	0	1	7	4	9	11	260	18	0	52395	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Actinomycetales;f_Microbacteriaceae;g_Leucobacter;s_Leucobacter sp017990305
s_Nocardia nova B	6836	10938	2538	283	9627	499	7016	754	3196	5607	492	598	417	1553	708	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Mycobacteriales;f_Mycobacteriaceae;g_Nocardia;s_Nocardia nova B
s_Unclassified_f_Rhizobiaceae	84	7	0	0	6	1	0	22	19	27	10	5560	102	0	43373	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Rhizobiaceae;g_Unclassified_f_Rhizobiaceae;s_Unclassified_f_Rhizobiaceae
s_Unclassified_g_Acidovorax	234	3	3	1	8	4	0	18	28	16	13	46848	111	0	896	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Burkholderiales;f_Burkholderiaceae;g_Acidovorax;s_Unclassified_g_Acidovorax
s_Unclassified_c_Clostridia	458	16	112	87	31	109	173	8488	64	62	17944	593	2770	117	17118	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Unclassified_c_Clostridia;f_Unclassified_c_Clostridia;g_Unclassified_c_Clostridia;s_Unclassified_c_Clostridia
s_Unclassified_g_Rothia	10421	687	59	3	205	33	171	255	3288	9433	148	5279	1226	70	13457	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Actinomycetales;f_Micrococcaceae;g_Rothia;s_Unclassified_g_Rothia
s_Unclassified_g_Brevundimonas	189	8	9	2	13	2	3	49	10	17	31	30027	233	4	11134	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Caulobacterales;f_Caulobacteraceae;g_Brevundimonas;s_Unclassified_g_Brevundimonas
s_Unclassified_f_Propionibacteriaceae	894	14	1	0	35	3	1	160	285	191	35	1038	180	0	36772	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Propionibacteriales;f_Propionibacteriaceae;g_Unclassified_f_Propionibacteriaceae;s_Unclassified_f_Propionibacteriaceae
s_Unclassified_g_Giesbergeria	196	0	0	0	4	0	0	12	27	5	11	37724	18	0	854	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Burkholderiales;f_Burkholderiaceae;g_Giesbergeria;s_Unclassified_g_Giesbergeria
s_Unclassified_f_Rhodobacteraceae	930	26	11	1	21	5	20	100	47	217	22	26299	169	3	10606	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhodobacterales;f_Rhodobacteraceae;g_Unclassified_f_Rhodobacteraceae;s_Unclassified_f_Rhodobacteraceae
s_Unclassified_g_Lysobacter	79	0	1	0	4	0	0	51	0	2	6	1864	11	0	35606	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Xanthomonadales;f_Xanthomonadaceae;g_Lysobacter;s_Unclassified_g_Lysobacter
s_Ligilactobacillus faecavium	0	0	0	0	4	10	130	2105	66	3225	1252	29779	478	9	18	d_Bacteria;p_Firmicutes;c_Bacilli;o_Lactobacillales;f_Lactobacillaceae;g_Ligilactobacillus;s_Ligilactobacillus faecavium
s_Unclassified_f_Lactobacillaceae	0	0	36	0	33	10	201	3242	100	6504	1793	22554	1795	53	189	d_Bacteria;p_Firmicutes;c_Bacilli;o_Lactobacillales;f_Lactobacillaceae;g_Unclassified_f_Lactobacillaceae;s_Unclassified_f_Lactobacillaceae
s_Kocuria sp014698015	17693	276	2	2	16	5	13	2194	84	693	748	6646	708	0	7283	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Actinomycetales;f_Micrococcaceae;g_Kocuria;s_Kocuria sp014698015
s_Unclassified_g_CCUG-7971	1797	0	6	0	5	0	7	1872	3	35	96	0	171	2	32274	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Peptostreptococcales;f_Peptostreptococcaceae;g_CCUG-7971;s_Unclassified_g_CCUG-7971
s_Pseudochrobactrum sp900470285	32	1	0	0	3	0	0	3	13	3	5	140	33	0	35661	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales A;f_Rhizobiaceae A;g_Pseudochrobactrum;s_Pseudochrobactrum sp900470285
s_Oryzisolibacter propanilivorax	167	0	0	0	8	1	1	4	18	5	9	34931	53	0	529	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Burkholderiales;f_Burkholderiaceae;g_Oryzisolibacter;s_Oryzisolibacter propanilivorax
s_Phenylobacterium sp001429025	53	0	0	0	1	0	0	5	4	7	5	35452	24	1	138	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Caulobacterales;f_Caulobacteraceae;g_Phenylobacterium;s_Phenylobacterium sp001429025
s_Unclassified_f_Actinomycetaceae	654	270	2	0	46	10	34	30	258	600	109	1147	1993	11	30025	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Actinomycetales;f_Actinomycetaceae;g_Unclassified_f_Actinomycetaceae;s_Unclassified_f_Actinomycetaceae
s_Luteimonas sp016615955	1537	11	2	1	0	1	0	384	7	28	47	30814	61	0	1269	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Xanthomonadales;f_Xanthomonadaceae;g_Luteimonas;s_Luteimonas sp016615955
s_Unclassified_g_Pulveribacter	117	1	2	0	5	0	2	6	11	8	3	32248	39	0	474	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Burkholderiales;f_Burkholderiaceae;g_Pulveribacter;s_Unclassified_g_Pulveribacter
s_Paracoccus sphaerophysae	848	10	0	0	4	1	0	59	2	21	15	29328	94	0	1640	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhodobacterales;f_Rhodobacteraceae;g_Paracoccus;s_Paracoccus sphaerophysae
s_Rothia kristinae	4333	271	4	3	143	10	28	1137	6462	4157	545	3024	508	28	10982	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Actinomycetales;f_Micrococcaceae;g_Rothia;s_Rothia kristinae
s_Unclassified_g_Ochrobactrum A	22	0	0	0	0	0	0	1	10	1	2	178	32	0	30959	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales A;f_Rhizobiaceae A;g_Ochrobactrum A;s_Unclassified_g_Ochrobactrum A
s_Stenotrophomonas maltophilia A	389	0	0	0	2	0	0	14	8	3	7	567	833	1	28726	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Xanthomonadales;f_Xanthomonadaceae;g_Stenotrophomonas;s_Stenotrophomonas maltophilia A
s_Unclassified_g_Alcaligenes	117	0	2	0	22	1	1	16	2	17	17	458	311	2	28785	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Burkholderiales;f_Burkholderiaceae;g_Alcaligenes;s_Unclassified_g_Alcaligenes
s_Unclassified_g_TAE3-ERU5	4966	1186	50	0	166	26	361	247	7345	1929	100	1420	1773	31	9942	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Actinomycetales;f_Dermabacteraceae;g_TAE3-ERU5;s_Unclassified_g_TAE3-ERU5
s_Corynebacterium accolens	993	285	2	0	7	4	0	356	389	2801	253	2689	167	19	20473	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Mycobacteriales;f_Mycobacteriaceae;g_Corynebacterium;s_Corynebacterium accolens
s_Unclassified_f_Xanthomonadaceae	326	6	1	0	1	0	1	52	5	8	3	5580	144	2	20427	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Xanthomonadales;f_Xanthomonadaceae;g_Unclassified_f_Xanthomonadaceae;s_Unclassified_f_Xanthomonadaceae
s_Unclassified_g_Romboutsia	241	0	25	0	3	0	35	263	6	26	200	6	348	11	24851	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Peptostreptococcales;f_Peptostreptococcaceae;g_Romboutsia;s_Unclassified_g_Romboutsia
s_Helicobacter G sp001693335	485	11	227	38	13207	46	332	339	21	11	163	4316	7	4229	2503	d_Bacteria;p_Campylobacterota;c_Campylobacteria;o_Campylobacterales;f_Helicobacteraceae;g_Helicobacter G;s_Helicobacter G sp001693335
s_Unclassified_g_Kaistella	85	0	0	0	0	0	0	133	0	0	29	25543	34	0	110	d_Bacteria;p_Bacteroidota;c_Bacteroidia;o_Flavobacteriales;f_Weeksellaceae;g_Kaistella;s_Unclassified_g_Kaistella
s_Gallilactobacillus intestinavium	0	0	0	0	6	1	197	3384	66	4636	1690	14560	992	13	11	d_Bacteria;p_Firmicutes;c_Bacilli;o_Lactobacillales;f_Lactobacillaceae;g_Gallilactobacillus;s_Gallilactobacillus intestinavium
s_Unclassified_g_Kocuria	9938	199	4	3	20	4	6	1220	137	786	427	5898	477	5	6039	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Actinomycetales;f_Micrococcaceae;g_Kocuria;s_Unclassified_g_Kocuria
s_Romboutsia timonensis	158	1	27	0	2	0	11	83	0	43	127	0	321	7	23949	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Peptostreptococcales;f_Peptostreptococcaceae;g_Romboutsia;s_Romboutsia timonensis
s_Unclassified_g_Jeotgalibaca	5	0	1	0	0	2	4	8	0	6	8	20	11	0	23780	d_Bacteria;p_Firmicutes;c_Bacilli;o_Lactobacillales;f_Aerococcaceae;g_Jeotgalibaca;s_Unclassified_g_Jeotgalibaca
s_Corynebacterium vitaeruminis A	1267	690	0	0	80	2	5	279	442	18367	19	468	146	0	1926	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Mycobacteriales;f_Mycobacteriaceae;g_Corynebacterium;s_Corynebacterium vitaeruminis A
s_Unclassified_f_Weeksellaceae	113	0	0	0	0	0	1	173	0	1	32	22701	16	1	110	d_Bacteria;p_Bacteroidota;c_Bacteroidia;o_Flavobacteriales;f_Weeksellaceae;g_Unclassified_f_Weeksellaceae;s_Unclassified_f_Weeksellaceae
s_Unclassified_g_Flaviflexus	223	31	1	0	10	2	6	34	82	410	55	191	202	12	21681	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Actinomycetales;f_Actinomycetaceae;g_Flaviflexus;s_Unclassified_g_Flaviflexus
s_Leucobacter komagatae	8	0	0	0	1	0	0	2	0	6	12	98	6	0	21743	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Actinomycetales;f_Microbacteriaceae;g_Leucobacter;s_Leucobacter komagatae
s_Giesbergeria sp012932145	124	1	0	0	0	0	0	7	20	1	4	21154	11	0	526	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Burkholderiales;f_Burkholderiaceae;g_Giesbergeria;s_Giesbergeria sp012932145
s_Unclassified_o_Rhizobiales	53	5	13	11	8	2	9	12	18	12	26	2289	14	24	19213	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Unclassified_o_Rhizobiales;g_Unclassified_o_Rhizobiales;s_Unclassified_o_Rhizobiales
s_Unclassified_g_Mobiluncus	537	69	4	0	75	13	5	12	231	115	11	758	636	21	18504	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Actinomycetales;f_Actinomycetaceae;g_Mobiluncus;s_Unclassified_g_Mobiluncus
s_Unclassified_o_Burkholderiales	79	0	79	74	29	56	44	11	105	1	58	17062	33	64	3204	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Burkholderiales;f_Unclassified_o_Burkholderiales;g_Unclassified_o_Burkholderiales;s_Unclassified_o_Burkholderiales
s_Paenalcaligenes intestinipullorum	401	13	0	0	14	0	0	5	15	2	12	241	839	0	19020	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Burkholderiales;f_Burkholderiaceae;g_Paenalcaligenes;s_Paenalcaligenes intestinipullorum
s_Escherichia sp004211955	5	0	2	0	2	0	0	64	18	8	19030	340	866	0	70	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae;g_Escherichia;s_Escherichia sp004211955
s_Unclassified_g_Luteimonas	940	9	1	3	4	0	0	194	11	15	34	17448	40	0	890	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Xanthomonadales;f_Xanthomonadaceae;g_Luteimonas;s_Unclassified_g_Luteimonas
s_Unclassified_p_Actinobacteriota	487	65	29	34	35	22	29	60	197	165	42	548	139	15	17009	d_Bacteria;p_Actinobacteriota;c_Unclassified_p_Actinobacteriota;o_Unclassified_p_Actinobacteriota;f_Unclassified_p_Actinobacteriota;g_Unclassified_p_Actinobacteriota;s_Unclassified_p_Actinobacteriota
s_Unclassified_g_Knoellia	12630	192	6	3	35	11	12	1458	30	80	179	130	264	0	3587	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Actinomycetales;f_Dermatophilaceae;g_Knoellia;s_Unclassified_g_Knoellia
s_Unclassified_c_Bacilli	60	6	180	64	84	77	77	840	115	912	1684	5199	1934	134	6677	d_Bacteria;p_Firmicutes;c_Bacilli;o_Unclassified_c_Bacilli;f_Unclassified_c_Bacilli;g_Unclassified_c_Bacilli;s_Unclassified_c_Bacilli
s_Helicobacter G pametensis	224	2	145	29	8702	46	217	236	18	19	87	3337	5	3124	1742	d_Bacteria;p_Campylobacterota;c_Campylobacteria;o_Campylobacterales;f_Helicobacteraceae;g_Helicobacter G;s_Helicobacter G pametensis
s_Escherichia sp001660175	9	0	0	0	5	0	1	39	19	8	16666	306	805	0	60	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae;g_Escherichia;s_Escherichia sp001660175
s_Unclassified_g_Paraclostridium	84	1	102	0	8	0	115	3373	5	5	11701	24	601	51	1533	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Peptostreptococcales;f_Peptostreptococcaceae;g_Paraclostridium;s_Unclassified_g_Paraclostridium
