species	S149	S150	S152	S153	S157	S113	S114	S130	S146	S802	S20	S27	S32	S45	S107	taxonomy
s_Streptomyces shenzhenensis	21552.3424	172236.255	22651.6848	2929.0636	51480.6192	4924.0265	70919.4777	1448.4254	15446.766	16984.1344	194.8243	343.6399	1180.7192	11871.8308	81.3979	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Streptomycetales;f_Streptomycetaceae;g_Streptomyces;s_Streptomyces shenzhenensis
s_Alcanivorax profundi	1418.0037	132.1728	65800.7209	75900.133	8829.107	71900.142	47525.7809	1.3805	24617.674	0	21.1398	32.5192	235.1513	43857.9843	8.0196	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Pseudomonadales;f_Alcanivoracaceae;g_Alcanivorax;s_Alcanivorax profundi
s_Paenibacillus O herberti	15485.399	132316.0419	15176.325	1427.6535	35917.9988	3262.7443	55109.5771	922.664	9657.8792	12011.7328	150.3797	245.5645	740.0064	8654.7976	41.3288	d_Bacteria;p_Firmicutes;c_Bacilli;o_Paenibacillales;f_Paenibacillaceae;g_Paenibacillus O;s_Paenibacillus O herberti
s_Vibrio viridaestus	252.8255	0	52476.6074	73945.7585	7248.6637	67063.2527	31817.0299	0	7686.0246	0	22.6935	24.7292	111.7127	41870.595	1.2101	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Vibrionaceae;g_Vibrio;s_Vibrio viridaestus
s_Catellicoccus marimammalium	17.2515	237.8194	53767.6641	598.4069	16630.8285	5433.8736	7650.5987	2542.2094	2.5241	96.6061	154.4505	39.5237	163965.6755	21506.057	11.3834	d_Bacteria;p_Firmicutes;c_Bacilli;o_Lactobacillales;f_Catellicoccaceae;g_Catellicoccus;s_Catellicoccus marimammalium
s_Escherichia ruysiae	308.9677	787.6855	45.1189	44.091	367.7163	23.4529	139.4906	1720.2533	2516.2686	532.2954	228770.8913	1791.4631	32884.9355	7.1326	131.1377	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae;g_Escherichia;s_Escherichia ruysiae
s_Ancylomarina A longa	357.5636	0	50778.4832	58707.712	6530.2151	55867.9347	31112.6294	0	8626.9036	0	41.6867	15.4708	250.1797	34791.5942	8.6042	d_Bacteria;p_Bacteroidota;c_Bacteroidia;o_Bacteroidales;f_Marinifilaceae;g_Ancylomarina A;s_Ancylomarina A longa
s_Unclassified_g_Corynebacterium	31876.9931	62847.5494	1920.5974	1193.7424	2586.8231	1871.1728	2448.2533	5104.1386	28038.0301	74662.6262	543.0806	3427.8376	14019.7991	991.7952	13733.2799	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Mycobacteriales;f_Mycobacteriaceae;g_Corynebacterium;s_Unclassified_g_Corynebacterium
s_Unclassified_g_Escherichia	481.7452	240.4812	167.6131	22.5276	309.634	0	49.8042	1656.6312	1953.2356	567.2295	172828.176	3020.9983	49707.155	21.9396	245.1638	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae;g_Escherichia;s_Unclassified_g_Escherichia
s_Unclassified_f_Vibrionaceae	2049.2636	449.9634	32833.8256	40405.054	6336.6555	37035.8644	26444.9986	3647.3396	17591.4593	30.0685	791.2103	64.5223	5891.7567	28031.4063	4.5327	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Vibrionaceae;g_Unclassified_f_Vibrionaceae;s_Unclassified_f_Vibrionaceae
s_Methylocystis sp011058845	252.2103	0	40567.9373	47976.3973	5091.4143	43179.8476	22508.3953	2.262	11103.7374	5.3572	9.3973	9.5164	69.1816	26783.0126	7.773	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Beijerinckiaceae;g_Methylocystis;s_Methylocystis sp011058845
s_Arthrobacter D sp002929375	2071.3778	11614.247	31516.0164	37028.5624	14999.7822	30021.3357	27031.681	80.5639	8414.4345	1832.2111	24.2675	18.361	234.9775	21425.0788	7.9341	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Actinomycetales;f_Micrococcaceae;g_Arthrobacter D;s_Arthrobacter D sp002929375
s_Escherichia coli	290.6905	256.2973	95.8137	12.292	285.6148	0	12.3721	1253.1531	1579.0685	489.9718	123306.049	2893.9653	48173.1745	19.9128	110.8489	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae;g_Escherichia;s_Escherichia coli
s_Unclassified_g_Cetobacterium A	129.8185	372.33	2285.8892	444.7946	1711.433	141.4003	1203.0136	118996.2224	36.0239	990.5767	2528.852	870.1032	28430.4211	12005.3067	71.3654	d_Bacteria;p_Fusobacteriota;c_Fusobacteriia;o_Fusobacteriales;f_Fusobacteriaceae;g_Cetobacterium A;s_Unclassified_g_Cetobacterium A
s_Helicobacter G sp001693335	2593.1848	263.3793	2993.1204	545.5304	106954.706	553.5847	5580.7577	854.669	147.2736	37.4218	85.9572	2607.8048	16.2264	46063.6492	388.1342	d_Bacteria;p_Campylobacterota;c_Campylobacteria;o_Campylobacterales;f_Helicobacteraceae;g_Helicobacter G;s_Helicobacter G sp001693335
s_Arachnia antarctica	55676.1039	2639.6472	116.7032	0	235.1914	20.6198	129.0688	2724.5625	482.8651	784.8472	159.9865	9184.8178	2567.192	28.2147	94216.2628	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Propionibacteriales;f_Propionibacteriaceae;g_Arachnia;s_Arachnia antarctica
s_Unclassified_g_Arthrobacter D	884.0352	7275.5819	28694.3452	31219.8098	5597.9402	33642.7331	20703.4021	43.8032	6704.9787	868.8801	178.5724	23.7372	102.6491	22683.961	39.6891	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Actinomycetales;f_Micrococcaceae;g_Arthrobacter D;s_Unclassified_g_Arthrobacter D
s_Unclassified_f_Burkholderiaceae	5929.3603	706.2557	837.7027	830.4908	480.1007	630.8177	1989.6051	363.3951	1776.2256	362.1537	46.9013	131718.0119	1875.9753	735.8512	2254.3464	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Burkholderiales;f_Burkholderiaceae;g_Unclassified_f_Burkholderiaceae;s_Unclassified_f_Burkholderiaceae
s_Unclassified_g_Rothia	52764.6889	18707.3723	809.0966	53.3493	1719.4917	433.8551	3122.2724	737.4348	23305.4166	38748.3425	116.4241	2581.9743	4650.8818	649.8274	1848.619	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Actinomycetales;f_Micrococcaceae;g_Rothia;s_Unclassified_g_Rothia
s_Unclassified_g_TAE3-ERU5	26816.4995	34488.6547	640.703	0	1378.2472	508.7549	6693.3511	631.2027	54346.2321	10517.3329	67.8306	847.2013	7523.714	350.4574	1547.5934	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Actinomycetales;f_Dermabacteraceae;g_TAE3-ERU5;s_Unclassified_g_TAE3-ERU5
s_Pseudochrobactrum asaccharolyticum	2534.0018	685.5983	17.2128	0	152.8705	19.3976	14.5196	57.9208	888.9088	264.7878	53.6668	1541.3511	2768.4658	7.5808	135697.4175	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales A;f_Rhizobiaceae A;g_Pseudochrobactrum;s_Pseudochrobactrum asaccharolyticum
s_UBA1444 sp012798135	532.4389	42.3796	22389.5371	32739.0605	5814.2562	30060.161	16268.9705	10.1468	10528.6701	0	19.5587	15.5511	99.5426	18933.8535	17.3412	d_Bacteria;p_Firmicutes C;c_Negativicutes;o_UBA1444;f_UBA1444;g_UBA1444;s_UBA1444 sp012798135
s_Corynebacterium sp008930665	24880.2138	43576.1674	69.2519	0	138.854	249.6566	1290.2873	962.0395	3030.5589	21475.7212	491.0416	9187.289	8670.07	284.2635	19892.2727	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Mycobacteriales;f_Mycobacteriaceae;g_Corynebacterium;s_Corynebacterium sp008930665
s_Paraclostridium sordellii	1320.2389	303.3639	3456.2944	0	136.1342	42.4633	6578.737	89660.4097	47.9916	168.2121	13313.7526	38.9189	9856.9374	1318.8157	1069.7794	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Peptostreptococcales;f_Peptostreptococcaceae;g_Paraclostridium;s_Paraclostridium sordellii
s_Corynebacterium vitaeruminis A	6437.7296	19708.7606	0	0	774.2358	37.9022	81.9153	737.7148	3070.4995	91834.4419	17.2725	291.5207	500.9299	0	301.4893	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Mycobacteriales;f_Mycobacteriaceae;g_Corynebacterium;s_Corynebacterium vitaeruminis A
s_Unclassified_f_Enterobacteriaceae	328.0473	96.4881	39.1465	284.3941	176.5957	652.0428	3513.4832	9560.5826	2377.5725	281.3933	66536.1261	1462.4899	33888.3823	678.1255	410.2972	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae;g_Unclassified_f_Enterobacteriaceae;s_Unclassified_f_Enterobacteriaceae
s_Rothia kristinae	24613.3961	8428.0836	49.5501	54.8301	1177.3247	106.5807	543.1824	3448.3426	54652.7909	19440.7747	381.6537	1748.1933	2195.4312	365.522	1823.8835	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Actinomycetales;f_Micrococcaceae;g_Rothia;s_Rothia kristinae
s_Helicobacter G pametensis	1190.0404	118.0584	1971.4069	431.6904	71310.3606	733.4896	3356.1575	557.0088	170.8687	67.4204	49.7664	2053.6095	15.273	35441.5946	257.1927	d_Bacteria;p_Campylobacterota;c_Campylobacteria;o_Campylobacterales;f_Helicobacteraceae;g_Helicobacter G;s_Helicobacter G pametensis
s_Ligilactobacillus aviarius B	29.242	30.7345	0	24.0253	186.6485	155.1066	7852.3883	19986.1864	1321.129	57651.4417	2288.5914	23745.0153	3673.9974	538.6096	6.2586	d_Bacteria;p_Firmicutes;c_Bacilli;o_Lactobacillales;f_Lactobacillaceae;g_Ligilactobacillus;s_Ligilactobacillus aviarius B
s_Epulopiscium B sp001983555	392.6292	930.978	20561.1247	25650.4291	2634.9854	24512.7935	15088.5601	0.9635	8256.5248	71.6397	16.988	2.176	20.5687	19109.5793	3.3722	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Lachnospirales;f_Cellulosilyticaceae;g_Epulopiscium B;s_Epulopiscium B sp001983555
s_Paraclostridium tenue	702.0265	255.1977	2397.7613	10.1872	228.9656	0	4652.657	18583.4859	278.2281	56.0592	64457.8609	140.6541	22188.9759	1648.2263	499.2232	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Peptostreptococcales;f_Peptostreptococcaceae;g_Paraclostridium;s_Paraclostridium tenue
s_Kocuria sp014698015	85772.6723	7436.2994	16.5002	45.3252	109.3169	59.7776	187.1796	5307.0243	570.3954	3267.5398	399.8234	3734.7498	2667.9515	0	1070.0098	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Actinomycetales;f_Micrococcaceae;g_Kocuria;s_Kocuria sp014698015
s_Leucobacter sp001482305	1181.6415	916.0141	96.9835	0	75.7771	0	147.5908	134.8623	233.8855	397.148	34.9666	1738.855	663.0835	7.7614	98948.1379	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Actinomycetales;f_Microbacteriaceae;g_Leucobacter;s_Leucobacter sp001482305
s_Ligilactobacillus aviarius	50.2506	26.2826	0	0	126.0777	108.5324	6475.3672	17326.991	1439.4956	47204.9737	1716.2811	19205.4057	2822.8911	355.424	5.7855	d_Bacteria;p_Firmicutes;c_Bacilli;o_Lactobacillales;f_Lactobacillaceae;g_Ligilactobacillus;s_Ligilactobacillus aviarius
s_Unclassified_g_Pseudochrobactrum	1222.0368	76.794	9.0869	0	161.324	0	112.2184	46.1669	611.6514	106.5581	29.8935	1204.7607	1902.1376	32.3029	85587.0069	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales A;f_Rhizobiaceae A;g_Pseudochrobactrum;s_Unclassified_g_Pseudochrobactrum
s_Unclassified_g_Knoellia	74166.3873	6076.8872	124.9476	39.6825	352.688	158.0121	165.9318	4075.3231	271.0273	466.1613	108.3287	71.8835	1138.968	0	622.5185	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Actinomycetales;f_Dermatophilaceae;g_Knoellia;s_Unclassified_g_Knoellia
s_Unclassified_c_Alphaproteobacteria	4401.0727	3653.9754	8012.9486	4977.8607	3235.2624	6902.8244	6460.048	126.9156	3386.2269	943.9437	32.3416	15913.8804	969.8958	4120.121	22925.9936	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Unclassified_c_Alphaproteobacteria;f_Unclassified_c_Alphaproteobacteria;g_Unclassified_c_Alphaproteobacteria;s_Unclassified_c_Alphaproteobacteria
s_Unclassified_g_Paracoccus	18667.0983	961.3143	93.5021	0	251.1912	339.3485	43.5408	522.7544	133.9023	1123.763	36.5387	60331.8618	1836.6957	15.3772	1082.7349	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhodobacterales;f_Rhodobacteraceae;g_Paracoccus;s_Unclassified_g_Paracoccus
s_Aureibaculum sp003449015	145.9199	0	18546.4173	18691.2602	1872.5968	22306.1543	9712.9177	0	1547.6603	0	13.1947	2.9234	12.8686	9618.8364	2.6944	d_Bacteria;p_Bacteroidota;c_Bacteroidia;o_Flavobacteriales;f_Flavobacteriaceae;g_Aureibaculum;s_Aureibaculum sp003449015
s_Giesbergeria sp017998735	2977.1091	120.412	0	0	89.1002	0	16.8045	121.255	951.4881	62.9649	12.8592	72089.6243	303.0199	16.8187	396.1677	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Burkholderiales;f_Burkholderiaceae;g_Giesbergeria;s_Giesbergeria sp017998735
s_Unclassified_c_Gammaproteobacteria	1358.5509	3627.702	8391.3274	8217.8657	2417.2226	9721.1143	8319.3202	223.0262	4637.1091	551.9591	5880.6381	9715.9976	2213.5679	7384.8323	2907.428	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Unclassified_c_Gammaproteobacteria;f_Unclassified_c_Gammaproteobacteria;g_Unclassified_c_Gammaproteobacteria;s_Unclassified_c_Gammaproteobacteria
s_Paracoccus sulfuroxidans	11220.3944	2007.2977	45.9874	17.9876	1334.1029	44.3611	93.0228	166.3897	435.0227	16214.1681	42.0585	29336.2833	3561.9889	15.486	1814.4831	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhodobacterales;f_Rhodobacteraceae;g_Paracoccus;s_Paracoccus sulfuroxidans
s_Ligilactobacillus faecavium	0	0	0	0	40.5922	119.2049	2452.5217	5153.8467	487.8771	17285.8677	801.1415	35111.4867	1980.9508	127.6949	3.3215	d_Bacteria;p_Firmicutes;c_Bacilli;o_Lactobacillales;f_Lactobacillaceae;g_Ligilactobacillus;s_Ligilactobacillus faecavium
s_Microbacterium arborescens	745.9638	4876.8324	10702.3122	12338.1643	2905.5552	11163.3876	7463.2383	64.5479	4796.9512	577.9919	19.8577	20.8605	27.131	6753.9698	2.0367	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Actinomycetales;f_Microbacteriaceae;g_Microbacterium;s_Microbacterium arborescens
s_Cellulomonas oligotrophica	46.9841	0	13189.4025	15673.4917	1607.0912	13269.7965	6126.727	3.3624	1839.2039	0	2.3589	1.2804	27.4413	8877.5946	0.2951	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Actinomycetales;f_Cellulomonadaceae;g_Cellulomonas;s_Cellulomonas oligotrophica
s_Unclassified_g_Kocuria	41380.5036	4129.2082	32.77	40.8193	141.8533	58.3025	124.984	2338.2981	877.9495	3558.6789	221.2673	3296.3633	1645.2877	51.8997	868.0192	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Actinomycetales;f_Micrococcaceae;g_Kocuria;s_Unclassified_g_Kocuria
s_Boudabousia marimammalium	5206.2497	7370.0751	81.2069	0	446.7721	446.144	989.9134	360.187	3819.8986	8821.5355	262.857	2571.7521	11934.4416	195.7969	12187.7445	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Actinomycetales;f_Actinomycetaceae;g_Boudabousia;s_Boudabousia marimammalium
s_Unclassified_g_Leucobacter	1855.2483	975.699	38.5834	0	248.1835	74.639	125.6228	171.6825	292.6953	753.9719	48.2109	1734.2504	607.8875	22.7638	47019.4517	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Actinomycetales;f_Microbacteriaceae;g_Leucobacter;s_Unclassified_g_Leucobacter
s_TAE3-ERU5 sp019218375	16611.7186	10883.6196	351.9271	0	310.2157	176.7115	2537.3756	144.2018	11817.1326	3773.3878	55.4291	321.965	4933.3378	213.9832	853.2199	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Actinomycetales;f_Dermabacteraceae;g_TAE3-ERU5;s_TAE3-ERU5 sp019218375
s_Unclassified_f_Helicobacteraceae	598.37	297.3011	577.6237	273.3916	33897.467	248.8029	1440.6251	260.5013	114.1268	6.1104	23.8255	736.4652	24.3192	14164.0597	102.456	d_Bacteria;p_Campylobacterota;c_Campylobacteria;o_Campylobacterales;f_Helicobacteraceae;g_Unclassified_f_Helicobacteraceae;s_Unclassified_f_Helicobacteraceae
s_Unclassified_c_Clostridia	2806.3921	682.6594	1608.2389	3837.1895	460.6383	4373.4659	3961.8658	13155.2412	954.6144	387.1995	6307.8494	281.2479	6829.2482	2222.4113	2208.9801	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Unclassified_c_Clostridia;f_Unclassified_c_Clostridia;g_Unclassified_c_Clostridia;s_Unclassified_c_Clostridia
s_Unclassified_o_Actinomycetales	12683.4402	6305.5611	717.8452	980.3787	469.6485	189.033	1024.9179	713.827	4676.8637	6086.3964	103.3792	1097.8847	4481.8087	851.3449	9274.0865	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Actinomycetales;f_Unclassified_o_Actinomycetales;g_Unclassified_o_Actinomycetales;s_Unclassified_o_Actinomycetales
s_Unclassified_f_Lactobacillaceae	0	0	300.9999	0	148.508	124.4436	2604.3611	6273.27	486.1376	22193.873	826.0944	10377.9876	5836.8123	295.1943	33.7983	d_Bacteria;p_Firmicutes;c_Bacilli;o_Lactobacillales;f_Lactobacillaceae;g_Unclassified_f_Lactobacillaceae;s_Unclassified_f_Lactobacillaceae
s_Unclassified_f_Clostridiaceae	1115.5672	8.2671	622.8003	147.4478	29.569	0	1721.2679	22088.5011	40.3223	7.7057	7876.238	303.2873	12917.3703	719.0298	300.0926	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Clostridiales;f_Clostridiaceae;g_Unclassified_f_Clostridiaceae;s_Unclassified_f_Clostridiaceae
s_Clostridium baratii	97.0727	0	584.4302	0	6.4057	0	61.2954	36942.7552	29.9419	0	355.2257	18.363	6789.0202	735.6238	427.0673	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Clostridiales;f_Clostridiaceae;g_Clostridium;s_Clostridium baratii
s_Unclassified_f_Peptostreptococcaceae	11823.9221	8.2089	1720.9198	0	59.8713	0	2714.2167	12140.4064	111.2957	376.0225	4950.4187	15.2231	3810.3923	575.4085	7488.1973	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Peptostreptococcales;f_Peptostreptococcaceae;g_Unclassified_f_Peptostreptococcaceae;s_Unclassified_f_Peptostreptococcaceae
s_Arthrobacter D sp002929295	534.4145	1541.8611	6584.6164	8945.7674	1828.0894	8444.5173	7615.7344	2.1849	1552.8724	247.0343	12.1244	1.9195	22.7144	7845.1856	1.7759	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Actinomycetales;f_Micrococcaceae;g_Arthrobacter D;s_Arthrobacter D sp002929295
s_Helicobacter G brantae	539.2406	42.7169	649.8802	162.5876	28992.7418	284.9854	837.6841	237.3797	25.9541	12.6075	28.1167	701.7678	14.7739	11718.1171	105.1529	d_Bacteria;p_Campylobacterota;c_Campylobacteria;o_Campylobacterales;f_Helicobacteraceae;g_Helicobacter G;s_Helicobacter G brantae
s_Unclassified_o_Campylobacterales	435.2041	308.7639	731.8013	239.1817	25165.6038	92.2198	1136.8655	340.4982	62.9735	17.0184	76.9895	698.9219	38.7061	13799.2407	117.5319	d_Bacteria;p_Campylobacterota;c_Campylobacteria;o_Campylobacterales;f_Unclassified_o_Campylobacterales;g_Unclassified_o_Campylobacterales;s_Unclassified_o_Campylobacterales
s_Aquifex sp003978875	97.3193	205.9394	7317.6181	8943.9416	1152.9248	8884.7626	7395.6667	150.3872	1924.5641	9.0845	3.7492	0.7671	1.91	6005.2727	1.8639	d_Bacteria;p_Aquificota;c_Aquificae;o_Aquificales;f_Aquificaceae;g_Aquifex;s_Aquifex sp003978875
s_Thioglobus sp900180385	138.0847	1822.9131	8077.1479	10626.0542	1080.9829	7367.0803	4618.3541	15.3592	2705.4292	0	0.992	0.9763	0	3005.5116	0.0765	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_PS1;f_Thioglobaceae;g_Thioglobus;s_Thioglobus sp900180385
s_Robertmurraya yapensis	188.7249	1249.1495	2825.2433	10896.9121	905.8097	2140.7883	18656.1202	18.6341	421.1994	0	9.0541	0	195.7579	1854.8801	2.492	d_Bacteria;p_Firmicutes;c_Bacilli;o_Bacillales B;f_DSM-18226;g_Robertmurraya;s_Robertmurraya yapensis
s_Streptococcus sp000187445	1106.2911	19097.858	2811.3702	2661.3346	1001.3684	1891.1523	1347.7922	14.8137	1724.5725	3154.685	3.2668	14.9079	52.1216	2120.2851	1.4706	d_Bacteria;p_Firmicutes;c_Bacilli;o_Lactobacillales;f_Streptococcaceae;g_Streptococcus;s_Streptococcus sp000187445
s_Corynebacterium accolens	5074.8963	7857.4429	20.5836	0	50.4483	71.9134	0	877.1867	2894.8298	13891.8187	163.8555	1602.1414	663.6046	212.4949	3124.7303	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Mycobacteriales;f_Mycobacteriaceae;g_Corynebacterium;s_Corynebacterium accolens
s_Unclassified_c_Bacilli	562.7177	520.203	3051.4187	2816.1189	771.8031	2615.8549	2248.6831	2071.5687	1503.3695	5107.8321	767.4363	3527.681	5919.6152	1971.7688	1153.9528	d_Bacteria;p_Firmicutes;c_Bacilli;o_Unclassified_c_Bacilli;f_Unclassified_c_Bacilli;g_Unclassified_c_Bacilli;s_Unclassified_c_Bacilli
s_Unclassified_g_Brevibacterium	8909.8788	6076.1412	175.8791	0	465.2385	73.3312	74.628	640.3739	15481.0653	317.6327	204.3697	37.8613	806.4446	65.1594	141.3912	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Actinomycetales;f_Brevibacteriaceae;g_Brevibacterium;s_Unclassified_g_Brevibacterium
s_Unclassified_c_Bacteroidia	227.6729	1917.8169	5127.9022	5864.3109	1149.5774	5590.0431	4034.2713	254.2303	1912.3105	160.5731	45.3091	2716.8837	149.7007	3014.0604	156.2225	d_Bacteria;p_Bacteroidota;c_Bacteroidia;o_Unclassified_c_Bacteroidia;f_Unclassified_c_Bacteroidia;g_Unclassified_c_Bacteroidia;s_Unclassified_c_Bacteroidia
s_Brevundimonas naejangsanensis A	1508.0192	57.4742	0	0	90.0402	0	21.9487	84.9221	81.0011	95.3769	11.7369	26248.3099	1117.832	16.6467	2187.2023	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Caulobacterales;f_Caulobacteraceae;g_Brevundimonas;s_Brevundimonas naejangsanensis A
s_Unclassified_g_Stenotrophomonas	4905.0463	25.9485	56.5843	0	93.207	0	8.6434	359.0352	253.7876	55.1817	13.2858	1344.3126	6117.5086	5.4317	17831.1029	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Xanthomonadales;f_Xanthomonadaceae;g_Stenotrophomonas;s_Unclassified_g_Stenotrophomonas
