species	S149	S150	S152	S153	S157	S113	S114	S130	S146	S802	S20	S27	S32	S45	S107	taxonomy
s_Puniceibacterium profundi	1224.2316	108.9147	38594.3747	43629.8125	6607.6847	37949.3354	20978.0464	29.2346	19333.6776	6.3064	26.9524	14.644	113.3636	31282.1677	10.6632	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhodobacterales;f_Rhodobacteraceae;g_Puniceibacterium;s_Puniceibacterium profundi
s_Catellicoccus marimammalium	12.3325	98.9071	22443.6194	240.2456	10206.8153	2171.5723	3099.2338	2308.7107	1.1974	79.9054	142.1731	34.7809	146266.7754	10775.6031	10.5961	d_Bacteria;p_Firmicutes;c_Bacilli;o_Lactobacillales;f_Catellicoccaceae;g_Catellicoccus;s_Catellicoccus marimammalium
s_Unclassified_p_Proteobacteria	2628.8905	1797.2196	32146.4883	33933.8803	8824.3297	32604.6126	22261.9387	542.4752	6312.4805	615.5898	1031.9718	8651.4716	1405.9735	29621.012	8733.0353	d_Bacteria;p_Proteobacteria;c_Unclassified_p_Proteobacteria;o_Unclassified_p_Proteobacteria;f_Unclassified_p_Proteobacteria;g_Unclassified_p_Proteobacteria;s_Unclassified_p_Proteobacteria
s_Streptomyces shenzhenensis	15407.0972	71631.6094	9455.233	1175.9467	31595.129	1967.819	28729.2601	1315.3894	7327.9002	14048.012	179.3375	302.4034	1053.2692	5948.3771	75.7681	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Streptomycetales;f_Streptomycetaceae;g_Streptomyces;s_Streptomyces shenzhenensis
s_Unclassified_g_Corynebacterium	22787.8679	26137.767	801.6929	479.2581	1587.6073	747.7883	991.7798	4635.3298	13301.1587	61755.3679	499.9106	3016.5001	12506.4639	496.9387	12783.4183	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Mycobacteriales;f_Mycobacteriaceae;g_Corynebacterium;s_Unclassified_g_Corynebacterium
s_Escherichia coli	207.8056	106.5919	39.9944	4.9349	175.29	0	5.0119	1138.0526	749.1054	405.2682	113504.3371	2546.692	42973.2313	9.9773	103.1821	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae;g_Escherichia;s_Escherichia coli
s_Unclassified_g_Cetobacterium A	92.8032	154.8489	954.1725	178.574	1050.3554	56.5087	487.3371	108066.5684	17.0896	819.3313	2327.8312	765.6916	25361.5643	6015.2551	66.4295	d_Bacteria;p_Fusobacteriota;c_Fusobacteriia;o_Fusobacteriales;f_Fusobacteriaceae;g_Cetobacterium A;s_Unclassified_g_Cetobacterium A
s_Alcanivorax profundi	1013.6866	54.9696	27466.4402	30472.0303	5418.6756	28733.8956	19252.5462	1.2537	11678.5518	0	19.4593	28.6169	209.7685	21975.0292	7.4649	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Pseudomonadales;f_Alcanivoracaceae;g_Alcanivorax;s_Alcanivorax profundi
s_Arachnia antarctica	39801.1098	1097.8071	48.7141	0	144.3437	8.2404	52.2854	2474.3149	229.0698	649.1672	147.269	8082.6478	2290.0823	14.1369	87699.7998	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Propionibacteriales;f_Propionibacteriaceae;g_Arachnia;s_Arachnia antarctica
s_Paenibacillus O herberti	11070.0286	55029.1286	6334.8793	573.1676	22043.9035	1303.9106	22324.7185	837.9185	4581.6694	9935.2115	138.4258	216.097	660.1281	4336.4836	38.4703	d_Bacteria;p_Firmicutes;c_Bacilli;o_Paenibacillales;f_Paenibacillaceae;g_Paenibacillus O;s_Paenibacillus O herberti
s_Pseudochrobactrum asaccharolyticum	1811.4788	285.1346	7.1849	0	93.821	7.752	5.8819	52.6009	421.6957	219.0127	49.4007	1356.3904	2469.6301	3.7984	126311.9125	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales A;f_Rhizobiaceae A;g_Pseudochrobactrum;s_Pseudochrobactrum asaccharolyticum
s_Unclassified_f_Burkholderiaceae	4238.7147	293.7258	349.6726	333.4216	294.6515	252.0975	805.9828	330.0177	842.6362	299.5466	43.1731	115911.9672	1673.4774	368.698	2098.4246	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Burkholderiales;f_Burkholderiaceae;g_Unclassified_f_Burkholderiaceae;s_Unclassified_f_Burkholderiaceae
s_Vibrio viridaestus	180.7371	0	21904.7084	29687.3972	4448.7123	26800.8998	12888.98	0	3646.2274	0	20.8896	21.7617	99.6541	20979.2484	1.1264	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Vibrionaceae;g_Vibrio;s_Vibrio viridaestus
s_Paraclostridium sordellii	943.7976	126.1665	1442.7213	0	83.5495	16.9699	2665.0259	81425.2134	22.7671	139.1325	12255.4301	34.2487	8792.9528	660.7922	995.7882	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Peptostreptococcales;f_Peptostreptococcaceae;g_Paraclostridium;s_Paraclostridium sordellii
s_Ancylomarina A longa	255.611	0	21195.8798	23569.6976	4007.7798	22326.8461	12603.6295	0	4092.5776	0	38.373	13.6143	223.1746	17432.3173	8.0091	d_Bacteria;p_Bacteroidota;c_Bacteroidia;o_Bacteroidales;f_Marinifilaceae;g_Ancylomarina A;s_Ancylomarina A longa
s_Unclassified_f_Enterobacteriaceae	234.5108	40.1286	16.3405	114.1772	108.3818	260.5799	1423.3011	8682.4551	1127.9134	232.7476	61247.1079	1286.9924	30230.3783	339.7746	381.919	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae;g_Unclassified_f_Enterobacteriaceae;s_Unclassified_f_Enterobacteriaceae
s_Paraclostridium tenue	501.8569	106.1346	1000.87	4.0899	140.5227	0	1884.7769	16876.616	131.9906	46.368	59334.0459	123.7757	19793.8376	825.8433	464.6944	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Peptostreptococcales;f_Peptostreptococcaceae;g_Paraclostridium;s_Paraclostridium tenue
s_Unclassified_g_Rothia	37719.83	7780.2387	337.7319	21.4184	1055.3013	173.3842	1264.8229	669.7024	11056.0208	32049.7452	107.1694	2272.1397	4148.853	325.5958	1720.7594	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Actinomycetales;f_Micrococcaceae;g_Rothia;s_Unclassified_g_Rothia
s_Helicobacter G sp001693335	1853.7869	109.5372	1249.3839	219.017	65641.1633	221.2325	2260.7476	776.1687	69.8662	30.9525	79.1244	2294.8705	14.4749	23080.1769	361.2889	d_Bacteria;p_Campylobacterota;c_Campylobacteria;o_Campylobacterales;f_Helicobacteraceae;g_Helicobacter G;s_Helicobacter G sp001693335
s_Ligilactobacillus aviarius B	20.9042	12.7822	0	9.6456	114.5515	61.9862	3180.9781	18150.4802	626.7397	47684.9821	2106.6692	20895.6345	3277.4161	269.8702	5.8257	d_Bacteria;p_Firmicutes;c_Bacilli;o_Lactobacillales;f_Lactobacillaceae;g_Ligilactobacillus;s_Ligilactobacillus aviarius B
s_Leucobacter sp001482305	844.7186	380.9626	40.4827	0	46.5066	0	59.7886	122.4754	110.9546	328.4913	32.1871	1530.1939	591.5085	3.8889	92104.3949	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Actinomycetales;f_Microbacteriaceae;g_Leucobacter;s_Leucobacter sp001482305
s_Unclassified_f_Vibrionaceae	1464.9546	187.136	13705.4472	16221.6321	3888.9868	14800.8701	10712.7868	3312.3361	8345.3363	24.8704	728.3163	56.7797	5255.7845	14045.1273	4.2192	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Vibrionaceae;g_Unclassified_f_Vibrionaceae;s_Unclassified_f_Vibrionaceae
s_Corynebacterium vitaeruminis A	4602.1321	8196.7077	0	0	475.1706	15.1471	33.1836	669.9566	1456.6359	75958.6159	15.8995	256.5385	446.8582	0	280.6368	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Mycobacteriales;f_Mycobacteriaceae;g_Corynebacterium;s_Corynebacterium vitaeruminis A
s_Corynebacterium sp008930665	17786.0887	18122.9614	28.907	0	85.2187	99.7718	522.6914	873.6774	1437.6882	17763.1183	452.0083	8084.8224	7734.1991	142.4301	18516.4247	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Mycobacteriales;f_Mycobacteriaceae;g_Corynebacterium;s_Corynebacterium sp008930665
s_Methylocystis sp011058845	180.2973	0	16933.8088	19261.3396	3124.7467	17256.2278	9118.081	2.0542	5267.5802	4.4311	8.6503	8.3745	61.714	13419.62	7.2354	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Beijerinckiaceae;g_Methylocystis;s_Methylocystis sp011058845
s_Unclassified_g_Pseudochrobactrum	873.596	31.938	3.793	0	99.0091	0	45.4593	41.9265	290.1656	88.1369	27.5172	1060.1905	1696.8157	16.1854	79667.3858	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales A;f_Rhizobiaceae A;g_Pseudochrobactrum;s_Unclassified_g_Pseudochrobactrum
s_Arthrobacter D sp002929375	1480.7633	4830.2676	13155.3692	14866.054	9205.7955	11997.6109	10950.45	73.1642	3991.7829	1515.4686	22.3385	16.1577	209.6134	10735.029	7.3853	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Actinomycetales;f_Micrococcaceae;g_Arthrobacter D;s_Arthrobacter D sp002929375
s_Unclassified_g_TAE3-ERU5	19170.2789	14343.5413	267.4413	0	845.8697	203.3168	2711.4557	573.2275	25781.692	8699.155	62.4387	745.5379	6711.5839	175.5966	1440.5542	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Actinomycetales;f_Dermabacteraceae;g_TAE3-ERU5;s_Unclassified_g_TAE3-ERU5
s_Ligilactobacillus aviarius	35.9226	10.9307	0	0	77.3775	43.3735	2623.1511	15735.5285	682.8925	39044.4412	1579.8524	16900.774	2518.1806	178.0851	5.3854	d_Bacteria;p_Firmicutes;c_Bacilli;o_Lactobacillales;f_Lactobacillaceae;g_Ligilactobacillus;s_Ligilactobacillus aviarius
s_Kocuria sp014698015	61316.2077	3092.6943	6.8875	18.1969	67.0909	23.8893	75.8259	4819.5808	270.5939	2702.6657	368.0411	3286.5831	2379.9656	0	996.0026	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Actinomycetales;f_Micrococcaceae;g_Kocuria;s_Kocuria sp014698015
s_Rothia kristinae	17595.3491	3505.1691	20.6831	22.0129	722.5578	42.5935	220.0415	3131.6166	25927.1226	16079.9621	351.3157	1538.4116	1958.4504	183.1447	1697.7346	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Actinomycetales;f_Micrococcaceae;g_Rothia;s_Rothia kristinae
s_Unclassified_g_Paracoccus	13344.5263	399.8025	39.0295	0	154.1632	135.6159	17.6382	474.7401	63.5229	929.4931	33.6342	53092.0918	1638.4378	7.7047	1007.8476	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhodobacterales;f_Rhodobacteraceae;g_Paracoccus;s_Unclassified_g_Paracoccus
s_Unclassified_g_Arthrobacter D	631.9692	3025.8533	11977.5514	12533.9832	3435.6161	13444.8522	8386.8839	39.78	3180.8221	718.673	164.3775	20.8888	91.5689	11365.7915	36.944	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Actinomycetales;f_Micrococcaceae;g_Arthrobacter D;s_Unclassified_g_Arthrobacter D
s_Helicobacter G pametensis	850.7228	49.0995	822.9018	173.313	43765.2086	293.1289	1359.569	505.8483	81.0596	55.7651	45.8104	1807.1782	13.6244	17757.9998	239.404	d_Bacteria;p_Campylobacterota;c_Campylobacteria;o_Campylobacterales;f_Helicobacteraceae;g_Helicobacter G;s_Helicobacter G pametensis
s_Giesbergeria sp017998735	2128.2424	50.0784	0	0	54.6833	0	6.8075	110.1179	451.3832	52.0799	11.837	63438.9332	270.3112	8.427	368.7668	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Burkholderiales;f_Burkholderiaceae;g_Giesbergeria;s_Giesbergeria sp017998735
s_Unclassified_g_Knoellia	53019.2366	2527.3263	52.1554	15.9315	216.4547	63.1474	67.2185	3701.0098	128.5745	385.5739	99.7176	63.2576	1016.0247	0	579.4621	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Actinomycetales;f_Dermatophilaceae;g_Knoellia;s_Unclassified_g_Knoellia
s_UBA1444 sp012798135	380.624	17.6253	9345.8077	13143.9249	3568.3754	12013.1269	6590.5094	9.2148	4994.77	0	18.0039	13.685	88.7977	9486.8013	16.1418	d_Bacteria;p_Firmicutes C;c_Negativicutes;o_UBA1444;f_UBA1444;g_UBA1444;s_UBA1444 sp012798135
s_Unclassified_c_Alphaproteobacteria	3146.1895	1519.6576	3344.7532	1998.4882	1985.5731	2758.6181	2616.9454	115.2586	1606.4161	780.76	29.7707	14004.2288	865.2026	2064.3853	21340.3184	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Unclassified_c_Alphaproteobacteria;f_Unclassified_c_Alphaproteobacteria;g_Unclassified_c_Alphaproteobacteria;s_Unclassified_c_Alphaproteobacteria
s_Paracoccus sulfuroxidans	8021.11	834.8182	19.196	7.2216	818.7771	17.7283	37.6832	151.107	206.3735	13411.1532	38.7152	25815.9553	3177.4982	7.7592	1688.9845	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhodobacterales;f_Rhodobacteraceae;g_Paracoccus;s_Paracoccus sulfuroxidans
s_Ligilactobacillus faecavium	0	0	0	0	24.9126	47.6386	993.5089	4680.4723	231.4474	14297.5833	737.458	30898.1394	1767.1216	63.9815	3.0918	d_Bacteria;p_Firmicutes;c_Bacilli;o_Lactobacillales;f_Lactobacillaceae;g_Ligilactobacillus;s_Ligilactobacillus faecavium
s_Epulopiscium B sp001983555	280.6784	387.1859	8582.5945	10298.0143	1617.1659	9796.1983	6112.3288	0.875	3916.871	59.255	15.6376	1.9149	18.3484	9574.8487	3.1389	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Lachnospirales;f_Cellulosilyticaceae;g_Epulopiscium B;s_Epulopiscium B sp001983555
s_Unclassified_g_Leucobacter	1326.2592	405.785	16.1054	0	152.3173	29.8284	50.8894	155.9137	138.8538	623.6295	44.3785	1526.1419	542.2705	11.4058	43767.3537	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Actinomycetales;f_Microbacteriaceae;g_Leucobacter;s_Unclassified_g_Leucobacter
s_Unclassified_c_Gammaproteobacteria	971.1856	1508.7307	3502.6955	3299.2703	1483.5187	3884.9086	3370.1308	202.5415	2199.8309	456.5395	5413.1808	8550.0865	1974.6294	3700.1679	2706.3359	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Unclassified_c_Gammaproteobacteria;f_Unclassified_c_Gammaproteobacteria;g_Unclassified_c_Gammaproteobacteria;s_Unclassified_c_Gammaproteobacteria
s_Unclassified_g_Kocuria	29581.6311	1717.3029	13.6788	16.3879	87.0594	23.2998	50.6306	2123.5284	416.4966	2943.4743	203.6785	2900.8026	1467.6909	26.0043	807.9827	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Actinomycetales;f_Micrococcaceae;g_Kocuria;s_Unclassified_g_Kocuria
s_Boudabousia marimammalium	3721.7855	3065.1522	33.8973	0	274.1968	178.2953	401.0108	327.1043	1812.1486	7296.5177	241.9623	2263.1442	10646.2055	98.104	11344.7798	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Actinomycetales;f_Actinomycetaceae;g_Boudabousia;s_Boudabousia marimammalium
s_Unclassified_f_Clostridiaceae	797.4842	3.4382	259.9684	59.1967	18.1473	0	697.2803	20059.6999	19.1288	6.3736	7250.1485	266.8931	11523.0342	360.2697	279.3367	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Clostridiales;f_Clostridiaceae;g_Unclassified_f_Clostridiaceae;s_Unclassified_f_Clostridiaceae
s_Clostridium baratii	69.3943	0	243.952	0	3.9313	0	24.8306	33549.6094	14.2043	0	326.9885	16.1595	6056.1949	368.5841	397.5292	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Clostridiales;f_Clostridiaceae;g_Clostridium;s_Clostridium baratii
s_Unclassified_f_Lactobacillaceae	0	0	125.6429	0	91.1436	49.7322	1055.0186	5697.078	230.6222	18357.1201	760.4274	9132.6383	5206.7709	147.907	31.4606	d_Bacteria;p_Firmicutes;c_Bacilli;o_Lactobacillales;f_Lactobacillaceae;g_Unclassified_f_Lactobacillaceae;s_Unclassified_f_Lactobacillaceae
s_Unclassified_f_Peptostreptococcaceae	8452.553	3.414	718.3438	0	36.7447	0	1099.5207	11025.3253	52.7984	311.0178	4556.9053	13.3963	3399.0882	288.3082	6970.2765	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Peptostreptococcales;f_Peptostreptococcaceae;g_Unclassified_f_Peptostreptococcaceae;s_Unclassified_f_Peptostreptococcaceae
s_Unclassified_c_Clostridia	2006.2021	283.9123	671.3087	1540.5369	282.7069	1747.795	1604.9395	11946.9488	452.8663	320.2626	5806.4327	247.4984	6092.0806	1113.5385	2056.1961	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Unclassified_c_Clostridia;f_Unclassified_c_Clostridia;g_Unclassified_c_Clostridia;s_Unclassified_c_Clostridia
s_Unclassified_o_Actinomycetales	9066.9957	2622.4298	299.6419	393.5979	288.2367	75.5444	415.1911	648.2629	2218.6903	5034.2142	95.1615	966.1395	3998.0301	426.5661	8632.6448	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Actinomycetales;f_Unclassified_o_Actinomycetales;g_Unclassified_o_Actinomycetales;s_Unclassified_o_Actinomycetales
s_Aureibaculum sp003449015	104.3136	0	7741.6183	7504.0797	1149.2662	8914.3455	3934.6728	0	734.2055	0	12.1459	2.5726	11.4796	4819.515	2.508	d_Bacteria;p_Bacteroidota;c_Bacteroidia;o_Flavobacteriales;f_Flavobacteriaceae;g_Aureibaculum;s_Aureibaculum sp003449015
s_TAE3-ERU5 sp019218375	11875.1994	4526.4058	146.9009	0	190.3882	70.6203	1027.883	130.957	5606.0128	3121.0656	51.023	283.3295	4400.8199	107.2162	794.2069	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Actinomycetales;f_Dermabacteraceae;g_TAE3-ERU5;s_TAE3-ERU5 sp019218375
s_Unclassified_f_Helicobacteraceae	427.7561	123.645	241.1108	109.76	20803.8454	99.4306	583.5928	236.5746	54.1414	5.0541	21.9316	648.09	21.6941	7096.8977	95.3697	d_Bacteria;p_Campylobacterota;c_Campylobacteria;o_Campylobacterales;f_Helicobacteraceae;g_Unclassified_f_Helicobacteraceae;s_Unclassified_f_Helicobacteraceae
s_Brevundimonas naejangsanensis A	1078.0359	23.903	0	0	55.2602	0	8.8914	77.1221	38.4267	78.8887	10.804	23098.536	997.1702	8.3408	2035.9246	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Caulobacterales;f_Caulobacteraceae;g_Brevundimonas;s_Brevundimonas naejangsanensis A
s_Microbacterium arborescens	533.2662	2028.2336	4467.3435	4953.4685	1783.2224	4461.2932	3023.3347	58.6192	2275.6595	478.0719	18.2792	18.3573	24.2025	3384.0744	1.8959	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Actinomycetales;f_Microbacteriaceae;g_Microbacterium;s_Microbacterium arborescens
s_Unclassified_g_Stenotrophomonas	3506.4646	10.7918	23.6193	0	57.2038	0	3.5014	326.0582	120.3961	45.6422	12.2297	1182.9963	5457.1681	2.7216	16597.8156	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Xanthomonadales;f_Xanthomonadaceae;g_Stenotrophomonas;s_Unclassified_g_Stenotrophomonas
s_Unclassified_g_Acidovorax	864.784	41.3031	10.7397	8.3342	27.9804	24.7465	0	32.827	78.7312	53.0116	6.8155	24237.2839	439.943	0	133.3455	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Burkholderiales;f_Burkholderiaceae;g_Acidovorax;s_Unclassified_g_Acidovorax
s_Cellulomonas oligotrophica	33.5875	0	5505.501	6292.5201	986.3179	5303.0903	2481.9181	3.0536	872.5129	0	2.1714	1.1267	24.4793	4448.116	0.2747	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Actinomycetales;f_Cellulomonadaceae;g_Cellulomonas;s_Cellulomonas oligotrophica
s_Helicobacter G brantae	385.4863	17.7656	271.2721	65.2749	17793.6752	113.8905	339.3432	215.5767	12.3125	10.428	25.8816	617.5563	13.1791	5871.3589	97.88	d_Bacteria;p_Campylobacterota;c_Campylobacteria;o_Campylobacterales;f_Helicobacteraceae;g_Helicobacter G;s_Helicobacter G brantae
s_Corynebacterium accolens	3627.885	3267.8444	8.592	0	30.9615	28.7392	0	796.6182	1373.2987	11490.2786	150.8305	1409.8858	591.9733	106.4705	2908.6084	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Mycobacteriales;f_Mycobacteriaceae;g_Corynebacterium;s_Corynebacterium accolens
s_Unclassified_o_Campylobacterales	311.1138	128.4123	305.4674	96.0256	15444.8511	36.8544	460.5407	309.2238	29.8745	14.0763	70.8695	615.0519	34.5281	6914.1052	109.4028	d_Bacteria;p_Campylobacterota;c_Campylobacteria;o_Campylobacterales;f_Unclassified_o_Campylobacterales;g_Unclassified_o_Campylobacterales;s_Unclassified_o_Campylobacterales
s_Leucobacter komagatae A	302.9453	59.6309	12.6848	0	2.9517	0	5.341	16.4101	36.9646	142.0909	36.151	510.6246	244.6634	0	22772.6178	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Actinomycetales;f_Microbacteriaceae;g_Leucobacter;s_Leucobacter komagatae A
s_Luteimonas sp016615955	5846.9493	138.1648	16.0564	3.9325	0	3.6807	0	888.3209	15.1885	106.0891	28.0762	16272.9976	208.6663	0	176.0982	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Xanthomonadales;f_Xanthomonadaceae;g_Luteimonas;s_Luteimonas sp016615955
s_Unclassified_c_Bacilli	402.2693	216.3481	1273.7187	1130.6022	473.6777	1045.3902	910.9345	1881.2977	713.194	4224.8186	706.4321	3104.3624	5280.6359	987.9541	1074.1397	d_Bacteria;p_Firmicutes;c_Bacilli;o_Unclassified_c_Bacilli;f_Unclassified_c_Bacilli;g_Unclassified_c_Bacilli;s_Unclassified_c_Bacilli
s_Gallilactobacillus intestinavium	0	0	0	0	16.5722	1.7217	831.8533	4731.8504	118.66	10065.8668	526.5702	4096.494	2216.4174	31.6106	0.8863	d_Bacteria;p_Firmicutes;c_Bacilli;o_Lactobacillales;f_Lactobacillaceae;g_Gallilactobacillus;s_Gallilactobacillus intestinavium
s_Phenylobacterium sp001429025	179.0948	0	0	0	4.8581	0	0	11.7087	12.825	22.7039	2.3405	20584.3429	96.9588	2.5355	22.4383	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Caulobacterales;f_Caulobacteraceae;g_Phenylobacterium;s_Phenylobacterium sp001429025
s_Cetobacterium A somerae	9.2761	0	96.6605	7.4782	169.2595	11.399	60.6261	15432.3047	0	0	340.6212	99.6088	3056.277	873.0303	9.5142	d_Bacteria;p_Fusobacteriota;c_Fusobacteriia;o_Fusobacteriales;f_Fusobacteriaceae;g_Cetobacterium A;s_Cetobacterium A somerae
s_Unclassified_g_Brevundimonas	678.8204	114.1686	172.5796	9.6628	51.8958	9.0312	25.0927	113.9985	22.6163	55.9439	12.5837	16093.389	918.5442	27.6652	1701.7039	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Caulobacterales;f_Caulobacteraceae;g_Brevundimonas;s_Unclassified_g_Brevundimonas
s_Arthrobacter D sp002929295	382.0363	641.2471	2748.5409	3591.5049	1121.9508	3374.7343	3085.1103	1.9842	736.6781	204.3284	11.1606	1.6892	20.2626	3930.8278	1.653	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Actinomycetales;f_Micrococcaceae;g_Arthrobacter D;s_Arthrobacter D sp002929295
