genus	S149	S150	S152	S153	S157	S113	S114	S130	S146	S802	S20	S27	S32	S45	S107	taxonomy
g_Unclassified_f_Enterobacteriaceae	79	6	5	5	39	10	153	1576	412	91	188375	3599	9266	36	2839	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae;g_Unclassified_f_Enterobacteriaceae
g_Pseudomonas E	761	47	37	40	54	43	18	154	70	74	71	9821	1373	24	182494	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Pseudomonadales;f_Pseudomonadaceae;g_Pseudomonas E
g_Paraclostridium	430	17	501	1	43	3	732	43279	45	53	126819	294	7749	280	10766	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Peptostreptococcales;f_Peptostreptococcaceae;g_Paraclostridium
g_Boudabousia	1662	445	15	0	79	42	104	251	969	2887	729	6637	4996	32	129484	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Actinomycetales;f_Actinomycetaceae;g_Boudabousia
g_Lysobacter	160	2	1	0	4	1	0	135	2	16	16	7028	60	0	137751	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Xanthomonadales;f_Xanthomonadaceae;g_Lysobacter
g_Ochrobactrum A	49	4	0	0	3	1	1	1	13	16	11	1076	114	0	141334	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales A;f_Rhizobiaceae A;g_Ochrobactrum A
g_Helicobacter G	2044	53	1121	203	68448	278	1543	1705	122	56	837	22077	40	21554	13081	d_Bacteria;p_Campylobacterota;c_Campylobacteria;o_Campylobacterales;f_Helicobacteraceae;g_Helicobacter G
g_Unclassified_p_Proteobacteria	716	70	3266	3173	906	3369	1832	192	1127	106	3883	23313	442	3079	85215	d_Bacteria;p_Proteobacteria;c_Unclassified_p_Proteobacteria;o_Unclassified_p_Proteobacteria;f_Unclassified_p_Proteobacteria;g_Unclassified_p_Proteobacteria
g_Brevundimonas	577	11	10	3	27	3	6	109	27	48	67	96082	593	9	28098	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Caulobacterales;f_Caulobacteraceae;g_Brevundimonas
g_Unclassified_f_Rhizobiaceae A	68	4	0	0	1	0	1	2	23	14	13	545	146	0	116367	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales A;f_Rhizobiaceae A;g_Unclassified_f_Rhizobiaceae A
g_Flaviflexus	258	34	1	0	11	2	6	41	85	429	61	346	241	12	112911	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Actinomycetales;f_Actinomycetaceae;g_Flaviflexus
g_Unclassified_f_Microbacteriaceae	730	63	30	28	19	37	29	81	161	175	45	1112	168	19	105692	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Actinomycetales;f_Microbacteriaceae;g_Unclassified_f_Microbacteriaceae
g_Paenochrobactrum	89	4	1	0	11	0	0	14	7	10	13	302	170	0	106758	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales A;f_Rhizobiaceae A;g_Paenochrobactrum
g_Alcaligenes	158	0	11	3	67	3	8	19	3	24	36	680	441	2	97128	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Burkholderiales;f_Burkholderiaceae;g_Alcaligenes
g_Cetobacterium A	36	19	246	38	305	15	104	73560	7	290	7507	2283	10825	1681	711	d_Bacteria;p_Fusobacteriota;c_Fusobacteriia;o_Fusobacteriales;f_Fusobacteriaceae;g_Cetobacterium A
g_Unclassified_o_Actinomycetales	2644	280	28	25	59	14	55	242	727	1481	188	2300	1242	40	87457	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Actinomycetales;f_Unclassified_o_Actinomycetales;g_Unclassified_o_Actinomycetales
g_Rothia	18354	1149	73	6	393	51	246	1515	10920	16365	746	9783	2124	112	28408	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Actinomycetales;f_Micrococcaceae;g_Rothia
g_Unclassified_f_Peptostreptococcaceae	2548	1	121	0	5	0	142	6655	15	87	11738	36	1318	54	56161	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Peptostreptococcales;f_Peptostreptococcaceae;g_Unclassified_f_Peptostreptococcaceae
g_Shinella	376	5	1	0	43	1	2	32	31	69	17	19479	232	1	58166	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Rhizobiaceae;g_Shinella
g_Unclassified_c_Gammaproteobacteria	324	55	384	287	170	346	384	118	473	63	22348	23067	957	341	25451	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Unclassified_c_Gammaproteobacteria;f_Unclassified_c_Gammaproteobacteria;g_Unclassified_c_Gammaproteobacteria
g_Kocuria	31059	570	11	5	50	20	22	3846	273	1930	1357	16391	1418	7	17193	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Actinomycetales;f_Micrococcaceae;g_Kocuria
g_Romboutsia	573	2	71	0	5	1	62	546	8	112	1309	17	951	23	68914	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Peptostreptococcales;f_Peptostreptococcaceae;g_Romboutsia
g_Acidovorax	350	5	3	1	16	6	0	21	32	23	19	66586	157	0	1522	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Burkholderiales;f_Burkholderiaceae;g_Acidovorax
g_Luteimonas	2600	23	3	4	4	1	0	601	18	54	89	51675	103	0	3596	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Xanthomonadales;f_Xanthomonadaceae;g_Luteimonas
g_Catellicoccus	3	2	4479	41	2223	440	527	1184	1	19	338	72	47141	2182	88	d_Bacteria;p_Firmicutes;c_Bacilli;o_Lactobacillales;f_Catellicoccaceae;g_Catellicoccus
g_Pulveribacter	180	2	3	0	7	0	2	10	20	14	10	54828	65	0	717	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Burkholderiales;f_Burkholderiaceae;g_Pulveribacter
g_Unclassified_f_Clostridiaceae	123	1	80	9	9	0	145	16718	5	2	27657	1001	6530	71	2440	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Clostridiales;f_Clostridiaceae;g_Unclassified_f_Clostridiaceae
g_Clostridium	237	1	138	0	5	0	86	19807	5	6	17431	857	3022	102	10483	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Clostridiales;f_Clostridiaceae;g_Clostridium
g_Nocardia	6857	10944	2543	285	9635	512	7024	755	3216	5629	494	620	421	1561	983	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Mycobacteriales;f_Mycobacteriaceae;g_Nocardia
g_Phenylobacterium	88	0	0	1	4	8	13	7	7	18	10	50144	44	1	284	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Caulobacterales;f_Caulobacteraceae;g_Phenylobacterium
g_Unclassified_f_Rhizobiaceae	84	7	0	0	6	1	0	22	19	27	10	5560	102	0	43373	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Rhizobiaceae;g_Unclassified_f_Rhizobiaceae
g_CCUG-7971	2397	1	6	0	8	1	9	2517	3	49	519	1	257	2	42621	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Peptostreptococcales;f_Peptostreptococcaceae;g_CCUG-7971
g_Unclassified_c_Clostridia	458	16	112	87	31	109	173	8488	64	62	17944	593	2770	117	17118	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Unclassified_c_Clostridia;f_Unclassified_c_Clostridia;g_Unclassified_c_Clostridia
g_TAE3-ERU5	8357	1573	79	0	203	42	497	313	9047	2762	188	2091	3039	58	16465	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Actinomycetales;f_Dermabacteraceae;g_TAE3-ERU5
g_Paenalcaligenes	471	14	0	0	14	0	0	9	15	2	23	343	996	0	38049	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Burkholderiales;f_Burkholderiaceae;g_Paenalcaligenes
g_Unclassified_f_Propionibacteriaceae	894	14	1	0	35	3	1	160	285	191	35	1038	180	0	36772	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Propionibacteriales;f_Propionibacteriaceae;g_Unclassified_f_Propionibacteriaceae
g_Unclassified_f_Rhodobacteraceae	930	26	11	1	21	5	20	100	47	217	22	26299	169	3	10606	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhodobacterales;f_Rhodobacteraceae;g_Unclassified_f_Rhodobacteraceae
g_Jeotgalibaca	9	0	4	0	5	2	6	21	2	24	15	35	23	0	37156	d_Bacteria;p_Firmicutes;c_Bacilli;o_Lactobacillales;f_Aerococcaceae;g_Jeotgalibaca
g_Unclassified_f_Lactobacillaceae	0	0	36	0	33	10	201	3242	100	6504	1793	22554	1795	53	189	d_Bacteria;p_Firmicutes;c_Bacilli;o_Lactobacillales;f_Lactobacillaceae;g_Unclassified_f_Lactobacillaceae
g_Kaistella	125	1	7	6	1	4	1	216	0	0	45	35327	44	1	155	d_Bacteria;p_Bacteroidota;c_Bacteroidia;o_Flavobacteriales;f_Weeksellaceae;g_Kaistella
g_Oryzisolibacter	167	0	0	0	8	1	1	4	18	5	9	34931	53	0	529	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Burkholderiales;f_Burkholderiaceae;g_Oryzisolibacter
g_Unclassified_f_Actinomycetaceae	654	270	2	0	46	10	34	30	258	600	109	1147	1993	11	30025	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Actinomycetales;f_Actinomycetaceae;g_Unclassified_f_Actinomycetaceae
g_Melaminivora A	118	0	3	0	9	0	0	7	4	8	3	29472	26	0	456	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Burkholderiales;f_Burkholderiaceae;g_Melaminivora A
g_Mobiluncus	653	88	4	1	95	16	8	24	288	145	19	937	830	26	24199	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Actinomycetales;f_Actinomycetaceae;g_Mobiluncus
g_Unclassified_f_Xanthomonadaceae	326	6	1	0	1	0	1	52	5	8	3	5580	144	2	20427	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Xanthomonadales;f_Xanthomonadaceae;g_Unclassified_f_Xanthomonadaceae
g_Microbacterium	585	87	306	298	156	322	152	83	303	350	32	525	93	232	22834	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Actinomycetales;f_Microbacteriaceae;g_Microbacterium
g_Gallilactobacillus	0	0	0	0	6	1	197	3384	66	4636	1690	14560	992	13	11	d_Bacteria;p_Firmicutes;c_Bacilli;o_Lactobacillales;f_Lactobacillaceae;g_Gallilactobacillus
g_Knoellia	15469	232	7	4	44	12	16	1815	36	114	231	212	336	0	5072	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Actinomycetales;f_Dermatophilaceae;g_Knoellia
g_Unclassified_f_Weeksellaceae	113	0	0	0	0	0	1	173	0	1	32	22701	16	1	110	d_Bacteria;p_Bacteroidota;c_Bacteroidia;o_Flavobacteriales;f_Weeksellaceae;g_Unclassified_f_Weeksellaceae
g_Ochrobactrum	8	0	0	0	0	0	0	2	7	2	0	62	23	0	22734	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales A;f_Rhizobiaceae A;g_Ochrobactrum
g_Unclassified_o_Rhizobiales	53	5	13	11	8	2	9	12	18	12	26	2289	14	24	19213	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Unclassified_o_Rhizobiales;g_Unclassified_o_Rhizobiales
g_Unclassified_o_Burkholderiales	79	0	79	74	29	56	44	11	105	1	58	17062	33	64	3204	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Burkholderiales;f_Unclassified_o_Burkholderiales;g_Unclassified_o_Burkholderiales
g_Unclassified_p_Actinobacteriota	487	65	29	34	35	22	29	60	197	165	42	548	139	15	17009	d_Bacteria;p_Actinobacteriota;c_Unclassified_p_Actinobacteriota;o_Unclassified_p_Actinobacteriota;f_Unclassified_p_Actinobacteriota;g_Unclassified_p_Actinobacteriota
g_Unclassified_c_Bacilli	60	6	180	64	84	77	77	840	115	912	1684	5199	1934	134	6677	d_Bacteria;p_Firmicutes;c_Bacilli;o_Unclassified_c_Bacilli;f_Unclassified_c_Bacilli;g_Unclassified_c_Bacilli
g_Unclassified_o_Lactobacillales	19	0	92	0	57	8	44	1007	110	1083	337	2598	898	44	11149	d_Bacteria;p_Firmicutes;c_Bacilli;o_Lactobacillales;f_Unclassified_o_Lactobacillales;g_Unclassified_o_Lactobacillales
g_Puniceibacterium	173	4	3147	3152	577	3178	1342	5	2696	1	27	35	17	2542	350	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhodobacterales;f_Rhodobacteraceae;g_Puniceibacterium
g_Unclassified_f_Sphingomonadaceae	496	3	22	20	8	33	16	67	24	0	22	14330	19	28	986	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Sphingomonadales;f_Sphingomonadaceae;g_Unclassified_f_Sphingomonadaceae
g_Chitinophaga	1783	2625	1115	748	2093	735	1657	153	1337	1727	92	139	77	897	183	d_Bacteria;p_Bacteroidota;c_Bacteroidia;o_Chitinophagales;f_Chitinophagaceae;g_Chitinophaga
g_Aeromicrobium	57	2	6	0	13	0	4	13	1	31	6	8587	16	0	6559	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Propionibacteriales;f_Nocardioidaceae;g_Aeromicrobium
g_Unclassified_f_Micrococcaceae	2316	138	3	0	39	5	25	165	519	1771	106	1335	237	10	7965	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Actinomycetales;f_Micrococcaceae;g_Unclassified_f_Micrococcaceae
g_Citrobacter	9	3	1	0	2	0	1	48	17	9	12134	571	475	0	1238	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae;g_Citrobacter
g_Unclassified_f_Fusobacteriaceae	3	1	44	3	287	2	21	7769	0	0	3746	347	1240	302	121	d_Bacteria;p_Fusobacteriota;c_Fusobacteriia;o_Fusobacteriales;f_Fusobacteriaceae;g_Unclassified_f_Fusobacteriaceae
g_Fusobacterium A	1	0	53	3	29	0	28	2242	0	0	10257	506	483	129	141	d_Bacteria;p_Fusobacteriota;c_Fusobacteriia;o_Fusobacteriales;f_Fusobacteriaceae;g_Fusobacterium A
g_Alcanivorax	118	3	2240	2257	498	2492	1317	1	1662	0	15	27	27	1859	24	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Pseudomonadales;f_Alcanivoracaceae;g_Alcanivorax
g_Arthrobacter D	570	327	1613	1563	1116	1635	1014	43	844	313	249	50	43	1489	1321	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Actinomycetales;f_Micrococcaceae;g_Arthrobacter D
g_Streptomyces	1313	1694	580	199	1646	235	1181	160	686	977	113	275	89	384	2117	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Streptomycetales;f_Streptomycetaceae;g_Streptomyces
g_Rhodobacter F	0	0	0	0	0	0	0	26	0	0	0	40	5	0	11037	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhodobacterales;f_Rhodobacteraceae;g_Rhodobacter F
g_Unclassified_o_Campylobacterales	131	7	81	21	5042	15	99	183	9	2	150	1910	11	1851	1167	d_Bacteria;p_Campylobacterota;c_Campylobacteria;o_Campylobacterales;f_Unclassified_o_Campylobacterales;g_Unclassified_o_Campylobacterales
g_Unclassified_f_Helicobacteraceae	167	10	77	24	5303	18	107	146	17	2	67	1627	9	1893	969	d_Bacteria;p_Campylobacterota;c_Campylobacteria;o_Campylobacterales;f_Helicobacteraceae;g_Unclassified_f_Helicobacteraceae
g_Unclassified_f_Vibrionaceae	224	9	1277	1372	410	1465	841	494	1380	2	584	97	508	1343	13	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Vibrionaceae;g_Unclassified_f_Vibrionaceae
g_Brevibacterium	1812	196	7	0	57	6	7	251	2168	125	311	178	209	6	3835	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Actinomycetales;f_Brevibacteriaceae;g_Brevibacterium
g_Unclassified_f_Mycobacteriaceae	321	117	5	0	25	14	12	78	176	607	64	356	122	1	7235	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Mycobacteriales;f_Mycobacteriaceae;g_Unclassified_f_Mycobacteriaceae
g_Epulopiscium B	88	24	1406	1627	333	1754	803	1	1137	10	33	6	8	1838	22	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Lachnospirales;f_Cellulosilyticaceae;g_Epulopiscium B
g_Brachybacterium	1161	34	0	1	11	4	10	85	253	421	75	281	196	4	6469	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Actinomycetales;f_Dermabacteraceae;g_Brachybacterium
g_Unclassified_o_Enterobacterales	7	2	18	26	10	21	168	73	22	6	7451	289	350	39	387	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Unclassified_o_Enterobacterales;g_Unclassified_o_Enterobacterales
g_GCA-900066495	247	0	10	0	0	0	2	411	0	14	952	5	83	2	7060	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Peptostreptococcales;f_Peptostreptococcaceae;g_GCA-900066495
g_Ochrobactrum B	23	0	0	0	2	0	0	3	2	3	0	65	22	0	8300	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales A;f_Rhizobiaceae A;g_Ochrobactrum B
g_Fundicoccus	2	0	0	0	0	0	0	1	7	4	2	20	8	0	8343	d_Bacteria;p_Firmicutes;c_Bacilli;o_Lactobacillales;f_Aerococcaceae;g_Fundicoccus
g_Unclassified_f_Pseudomonadaceae	57	0	0	0	4	0	0	0	5	2	53	1386	66	0	6582	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Pseudomonadales;f_Pseudomonadaceae;g_Unclassified_f_Pseudomonadaceae
g_Unclassified_f_Dermatophilaceae	1682	33	2	0	2	1	0	194	17	18	29	192	44	0	5624	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Actinomycetales;f_Dermatophilaceae;g_Unclassified_f_Dermatophilaceae
g_Pauljensenia	189	23	2	0	11	2	8	20	31	79	20	216	242	1	6962	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Actinomycetales;f_Actinomycetaceae;g_Pauljensenia
g_Sphingopyxis	187	6	5	0	5	0	1	22	2	5	5	7326	12	3	206	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Sphingomonadales;f_Sphingomonadaceae;g_Sphingopyxis
g_Unclassified_o_Xanthomonadales	87	0	0	0	0	1	0	19	0	1	2	1702	30	0	5645	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Xanthomonadales;f_Unclassified_o_Xanthomonadales;g_Unclassified_o_Xanthomonadales
g_Unclassified_f_Pasteurellaceae	18	2	53	38	24	10	618	176	78	1	4191	2180	40	32	5	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Pasteurellaceae;g_Unclassified_f_Pasteurellaceae
g_Comamonas	65	0	1	0	0	2	0	5	5	0	5	6405	237	3	646	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Burkholderiales;f_Burkholderiaceae;g_Comamonas
g_UBA1444	67	1	1072	1378	457	1457	625	2	978	0	22	17	17	1123	54	d_Bacteria;p_Firmicutes C;c_Negativicutes;o_UBA1444;f_UBA1444;g_UBA1444
g_Unclassified_c_Bacteroidia	26	30	140	153	48	170	89	201	108	14	131	5344	46	121	577	d_Bacteria;p_Bacteroidota;c_Bacteroidia;o_Unclassified_c_Bacteroidia;f_Unclassified_c_Bacteroidia;g_Unclassified_c_Bacteroidia
g_Melaminivora	31	2	0	0	1	0	0	4	3	4	1	6845	13	0	266	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Burkholderiales;f_Burkholderiaceae;g_Melaminivora
g_Methylocystis	23	0	1416	1429	284	1497	621	1	649	1	8	29	8	1159	39	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Beijerinckiaceae;g_Methylocystis
g_Polaromonas	26	0	0	0	0	0	0	0	10	1	1	6613	3	0	108	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Burkholderiales;f_Burkholderiaceae;g_Polaromonas
g_Actinomyces	157	52	1	0	7	2	5	18	122	100	60	172	238	0	5768	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Actinomycetales;f_Actinomycetaceae;g_Actinomyces
g_Variovorax	40	20	10	8	8	3	11	5	12	5	3	4003	4	14	2395	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Burkholderiales;f_Burkholderiaceae;g_Variovorax
g_Rhizobium	5	4	11	1	3	0	6	0	10	2	0	493	17	2	5974	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Rhizobiaceae;g_Rhizobium
g_Vibrio	13	7	1130	1363	257	1369	585	1	336	0	130	56	15	1087	14	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Vibrionaceae;g_Vibrio
g_Unclassified_o_Clostridiales	10	0	4	0	0	0	7	1849	1	0	3394	144	721	8	221	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Clostridiales;f_Unclassified_o_Clostridiales;g_Unclassified_o_Clostridiales
g_Gallibacterium	15	2	58	36	14	10	641	136	67	1	3276	1884	42	34	84	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Pasteurellaceae;g_Gallibacterium
g_Neorhizobium	3	0	17	13	4	15	13	1	22	0	0	161	4	16	5878	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Rhizobiaceae;g_Neorhizobium
g_Mesorhizobium	13	0	10	3	2	7	4	0	2	0	2	550	7	25	5490	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Rhizobiaceae;g_Mesorhizobium
g_AWTP1-30	0	0	0	0	0	0	0	0	0	0	5	11	1	0	6088	d_Bacteria;p_Dependentiae;c_Babeliae;o_Babeliales;f_Vermiphilaceae;g_AWTP1-30
g_Unclassified_o_Mycobacteriales	227	77	1	0	18	2	2	50	71	195	32	256	62	8	4824	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Mycobacteriales;f_Unclassified_o_Mycobacteriales;g_Unclassified_o_Mycobacteriales
g_Romboutsia A	297	1	0	0	3	1	2	400	1	11	297	1	24	1	4759	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Peptostreptococcales;f_Peptostreptococcaceae;g_Romboutsia A
g_Rhodoferax	28	7	13	24	8	14	9	2	5	4	3	4647	10	11	986	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Burkholderiales;f_Burkholderiaceae;g_Rhodoferax
g_Unclassified_f_Aerococcaceae	1	0	0	0	3	1	11	83	2	17	3	145	10	0	5377	d_Bacteria;p_Firmicutes;c_Bacilli;o_Lactobacillales;f_Aerococcaceae;g_Unclassified_f_Aerococcaceae
g_Mycobacterium	174	107	36	38	23	47	27	63	49	125	23	87	48	32	4772	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Mycobacteriales;f_Mycobacteriaceae;g_Mycobacterium
g_Achromobacter	15	0	4	0	0	0	0	0	0	0	4	313	18	6	5205	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Burkholderiales;f_Burkholderiaceae;g_Achromobacter
g_Unclassified_f_Caulobacteraceae	18	5	2	0	2	0	1	10	4	17	4	4637	16	0	644	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Caulobacterales;f_Caulobacteraceae;g_Unclassified_f_Caulobacteraceae
g_Acidovorax A	25	0	0	0	1	0	0	2	6	0	29	5076	11	0	168	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Burkholderiales;f_Burkholderiaceae;g_Acidovorax A
g_Agromyces	15	0	10	3	0	12	4	5	2	18	3	28	1	3	5206	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Actinomycetales;f_Microbacteriaceae;g_Agromyces
g_Cellulomonas	45	3	379	368	69	353	151	9	121	60	8	76	14	284	2849	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Actinomycetales;f_Cellulomonadaceae;g_Cellulomonas
