KEGG_L2	S149	S150	S152	S153	S157	S113	S114	S130	S146	S802	S20	S27	S32	S45	S107
Transport and catabolism	44.8688	7.0606	8.7477	8.5069	16.0596	8.8211	11.3386	74.7941	16.6629	35.4017	172.5646	281.0545	42.1512	11.5933	1304.874
Aging	78.4036	8.2809	7.5234	3.0325	66.7455	2.9209	6.9482	0	24.6156	78.1106	297.2221	342.8621	38.8621	21.3123	1669.2272
Circulatory system	11.3259	9.5993	46.4362	46.7144	26.6421	52.0588	29.3002	0.125	29.8346	7.7046	0.6875	0	0	46.4362	4.0625
Development and regeneration	1.0798	0.7439	10.4194	11.1941	3.2175	6.8466	5.4677	7.2667	3.9142	0.7889	15.6448	7.9055	0.1094	8.9531	22.9312
Cellular community - eukaryotes	5.0651	6.8476	39.127	38.5198	16.3081	39.6326	22.7064	0.5047	29.7973	6.5554	2.1526	0.7433	0.4965	33.4546	1.8214
Environmental adaptation	19.4853	2.3438	6.8441	5.6984	5.4346	6.6469	5.0351	0.025	13.4977	5.7468	0	120.7209	0	7.0287	0.075
Nervous system	25.2905	7.0111	24.5146	21.2535	17.043	21.5224	19.1414	49.5723	24.651	18.0093	117.2588	105.8685	6.3858	21.4459	691.2901
Sensory system	7.3251	8.5081	13.7399	9.3433	9.6793	8.0441	10.0981	0.4253	9.0322	4.8288	1.1137	0.7719	0.2222	7.6912	5.1606
Endocrine and metabolic disease	85.026	20.3877	12.9893	8.7375	37.0108	9.4208	13.7414	66.2127	31.477	108.4525	342.5225	189.5177	68.2682	16.3959	1235.7141
Excretory system	62.1641	7.0306	15.0175	14.2999	5.9065	17.9404	9.0134	69.2222	28.0561	38.7123	253.6135	172.8571	0	15.3689	1051.4485
Digestive system	48.54	35.7013	34.4957	31.4019	38.8594	37.4785	33.1683	40.2609	37.3691	67.4872	336.1236	492.673	4.0019	36.7445	387.9338
Neurodegenerative disease	14.5058	4.0229	14.877	12.4312	26.32	15.4055	12.9129	4.4752	14.4064	10.345	5.2101	11.1379	2.2174	16.5726	221.8126
Substance dependence	10.7589	3.7832	6.1099	3.958	2.5532	3.8551	6.3354	0.2486	5.2663	3.751	0.7837	37.2317	0.0935	5.1622	121.9167
Infectious disease: bacterial	46.6099	9.4873	35.9133	31.0309	56.7491	28.8981	27.5637	10.7499	35.0114	69.4158	215.3278	284.0411	37.3887	36.2477	747.0346
Infectious disease: parasitic	1.8155	9.9977	7.3769	5.536	5.0929	5.298	7.7488	0	4.737	3.1256	0	0.0952	0	4.7859	0
Infectious disease: viral	5.6646	3.6904	27.3714	28.7162	9.7065	28.3057	19.0546	8.5355	24.3084	12.0927	16.0112	11.1459	0.7471	20.9929	92.1739
Cancer: overview	59.0927	10.5437	19.8861	16.8637	22.6484	15.8445	15.734	145.5947	26.1417	144.7299	347.012	456.0434	7.028	18.3044	1609.2668
Cancer: specific types	15.201	4.0447	21.7783	24.4497	15.5733	22.8964	18.2245	0	22.7015	25.2459	72.1139	17.4054	0	19.8146	190.4742
Immune disease	19.0939	8.0057	62.7366	75.0073	41.5496	80.2202	39.9089	0	57.4416	17.3069	0.0435	0	0	64.8499	0
Cardiovascular disease	38.6318	17.9847	51.3692	49.0092	45.0303	57.0155	35.674	0.2676	44.69	41.7369	0.5949	98.5482	0.1838	54.5083	272.9829
