KEGG_KO	S149	S150	S152	S153	S157	S113	S114	S130	S146	S802	S20	S27	S32	S45	S107	description
K00014	336.6264	71.2388	42.9147	0.0000	187.4898	11.4176	37.3378	675.6023	6.5014	238.2194	647.0444	394.1090	900.8100	203.0732	464.5301	aroE; shikimate dehydrogenase [EC:1.1.1.25]
K00015	61.0492	10.4273	0.0000	0.0000	0.0000	0.0000	0.0000	1.9188	0.0000	6.9933	0.4740	63.0138	6.0053	0.0000	34.6108	gyaR, GOR1; glyoxylate reductase [EC:1.1.1.26]
K00016	232.9806	125.5793	65.3343	0.0000	19.5689	0.0000	75.6601	985.7722	80.1933	1620.1387	344.9033	475.3747	869.9395	42.1094	190.5653	LDH, ldh; L-lactate dehydrogenase [EC:1.1.1.27]
K00018	0.0000	0.0000	0.0000	0.0000	4.7809	0.0000	32.4096	140.4040	0.0000	0.0000	50.5779	10.9074	52.0893	5.1865	5.2404	hprA; glycerate dehydrogenase [EC:1.1.1.29]
K00019	261.2525	0.0000	61.8189	45.0390	23.8587	38.8198	7.9524	29.7636	174.5875	4.5161	4.3292	249.6663	23.9347	159.8719	100.9546	E1.1.1.30, bdh; 3-hydroxybutyrate dehydrogenase [EC:1.1.1.30]
K00020	154.3666	11.5635	160.9097	173.7723	5.1054	450.1720	102.5478	23.3140	62.8722	146.8716	0.5351	761.4650	76.8245	248.6838	540.7688	mmsB, HIBADH; 3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31]
K00021	18.3229	28.9690	0.0000	0.0000	0.0000	0.0000	0.0000	1.8206	8.4413	161.2347	0.0000	2.9698	0.0000	0.0000	14.7098	HMGCR; hydroxymethylglutaryl-CoA reductase (NADPH) [EC:1.1.1.34]
K00022	0.0000	0.0000	0.0000	181.4892	29.6919	0.0000	40.1282	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	32.2110	0.0000	HADH; 3-hydroxyacyl-CoA dehydrogenase [EC:1.1.1.35]
K00023	131.2369	0.0000	0.0000	0.0000	0.0000	0.0000	24.5287	7.7867	32.6881	4.8712	0.0000	382.7118	52.6023	0.0000	109.7592	phbB; acetoacetyl-CoA reductase [EC:1.1.1.36]
K00024	346.6573	113.6032	5.0587	0.0000	4.5222	0.0000	0.0000	57.8956	126.5138	316.1310	339.5176	378.6879	187.8393	4.7767	485.3237	mdh; malate dehydrogenase [EC:1.1.1.37]
K00025	0.0000	0.0000	0.0000	0.0000	0.0000	451.6322	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	MDH1; malate dehydrogenase [EC:1.1.1.37]
K00027	70.3271	35.9431	0.0000	0.0000	3.8410	0.0000	23.3068	204.0421	12.8731	322.0229	43.3468	123.5079	79.4433	8.3337	53.9784	ME2, sfcA, maeA; malate dehydrogenase (oxaloacetate-decarboxylating) [EC:1.1.1.38]
K00029	91.7659	87.8227	272.0120	11.8907	155.6267	20.4975	119.5603	18.2176	20.3409	0.0000	0.2073	170.6660	16.3510	94.9670	149.7091	E1.1.1.40, maeB; malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40]
K00030	12.6734	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	20.2097	0.0000	0.0000	0.1218	IDH3; isocitrate dehydrogenase (NAD+) [EC:1.1.1.41]
K00031	322.4478	105.3552	8.3172	0.0000	18.9016	9.7010	42.2162	19.4002	92.2403	179.0760	261.5493	349.2652	108.0615	8.0660	339.5385	IDH1, IDH2, icd; isocitrate dehydrogenase [EC:1.1.1.42]
K00032	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	4.0398	E1.1.1.43; phosphogluconate 2-dehydrogenase [EC:1.1.1.43]
K00033	220.2407	130.5950	0.0000	0.0000	18.1688	0.0000	21.4167	170.6783	27.8275	795.0003	331.4320	320.4778	179.5944	6.7110	199.6777	PGD, gnd, gntZ; 6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]
K00034	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	34.6579	0.0000	0.0000	6.0128	gdh; glucose 1-dehydrogenase [EC:1.1.1.47]
K00035	23.8853	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	15.5065	0.0000	74.9763	0.0000	0.0000	8.6240	gal; D-galactose 1-dehydrogenase [EC:1.1.1.48]
K00036	151.6587	93.9862	3.2954	0.0000	14.7650	3.2372	24.4051	141.2759	65.4840	743.4068	153.2246	520.8217	102.7070	0.0000	306.2777	G6PD, zwf; glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]
K00038	43.4075	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	6.0142	0.0000	0.0000	85.6829	E1.1.1.53; 3alpha(or 20beta)-hydroxysteroid dehydrogenase [EC:1.1.1.53]
K00039	17.6348	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	5.2767	0.0000	0.0000	0.0000	84.9755	0.0000	0.0000	2.8802	rbtD; ribitol 2-dehydrogenase [EC:1.1.1.56]
K00040	13.1682	13.5808	0.0000	0.0000	0.0000	0.0000	3.8027	168.1779	3.8482	6.7856	435.1370	82.0699	139.5863	3.0524	98.9904	uxuB; fructuronate reductase [EC:1.1.1.57]
K00041	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	6.6186	2.0342	3.0763	199.5063	9.3042	27.0493	0.0000	51.0596	uxaB; tagaturonate reductase [EC:1.1.1.58]
K00042	121.8514	0.0000	0.0000	0.0000	0.0000	0.0000	21.2033	591.4375	16.7181	12.0670	876.4428	171.0537	605.9445	11.3466	37.8136	garR, glxR; 2-hydroxy-3-oxopropionate reductase [EC:1.1.1.60]
K00044	0.0000	0.0000	28.1256	0.0000	12.5715	0.0000	0.0000	0.0000	8.2218	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	-
K00045	8.4129	6.6759	0.0000	0.0000	0.0000	0.0000	0.0000	5.0149	0.0000	41.6481	0.0000	41.8550	0.0000	0.0000	9.2919	E1.1.1.67, mtlK; mannitol 2-dehydrogenase [EC:1.1.1.67]
K00048	33.5127	17.7019	0.0000	0.0000	0.0000	0.0000	0.0000	102.0588	2.5644	21.4780	227.8535	12.0048	199.7077	0.0000	26.5875	fucO; lactaldehyde reductase [EC:1.1.1.77]
K00049	0.0000	0.0000	211.6155	665.2609	54.0500	556.1882	0.0000	0.0000	113.6632	0.0000	0.0000	0.0000	0.0000	293.1782	0.0000	GRHPR; glyoxylate/hydroxypyruvate reductase [EC:1.1.1.79 1.1.1.81]
K00052	445.5042	126.3290	0.0000	0.0000	8.4986	4.5075	0.0000	69.9569	120.0648	375.1877	302.8874	330.2874	184.5526	8.9575	334.7339	leuB, IMDH; 3-isopropylmalate dehydrogenase [EC:1.1.1.85]
K00053	511.5185	130.3510	25.1430	0.0000	522.8056	0.0000	44.8911	147.6237	78.3032	453.1260	455.8683	339.1379	299.2948	200.8011	389.6487	ilvC; ketol-acid reductoisomerase [EC:1.1.1.86]
K00054	27.8429	8.0342	7.9442	0.0000	7.1102	0.0000	28.9303	219.9267	72.1722	2.7852	16.8177	122.5844	52.2699	11.5564	34.7330	mvaA; hydroxymethylglutaryl-CoA reductase [EC:1.1.1.88]
K00055	2.8479	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	2.6190	0.0000	0.0000	12.8617	8.0367	0.0000	19.8151	E1.1.1.90; aryl-alcohol dehydrogenase [EC:1.1.1.90]
K00057	220.9198	18.8320	51.2948	0.0000	526.1348	28.1106	158.3498	632.1035	70.6902	329.5941	651.8646	429.3552	657.9885	291.2525	447.9972	gpsA; glycerol-3-phosphate dehydrogenase (NAD(P)+) [EC:1.1.1.94]
K00058	262.9108	269.6758	563.7921	345.2033	73.1738	527.1690	325.2612	575.2793	179.4111	319.7792	358.8449	559.5719	240.6727	439.4863	706.6656	serA, PHGDH; D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase [EC:1.1.1.95 1.1.1.399]
K00059	589.9349	36.5888	96.6995	7.4257	858.7260	6.5322	199.6712	1145.7026	147.0824	510.5239	617.4381	1711.5877	793.0572	185.6530	1191.3468	fabG; 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]
K00060	113.5969	42.2512	0.0000	0.0000	12.9441	0.0000	5.8146	5.6216	14.0047	43.5679	329.9391	74.9961	145.4907	9.3347	105.1114	tdh; threonine 3-dehydrogenase [EC:1.1.1.103]
K00061	0.0000	0.0000	122.1422	177.9765	0.0000	76.7004	73.7840	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	197.4224	0.0000	RDH5; 11-cis-retinol dehydrogenase [EC:1.1.1.315]
K00064	3.1872	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	54.7945	116.0948	0.0000	0.0000	93.9182	E1.1.1.122; D-threo-aldose 1-dehydrogenase [EC:1.1.1.122]
K00065	16.8563	0.0000	6.4808	0.0000	0.0000	0.0000	32.1872	316.7113	7.8501	9.2828	387.2378	78.2899	289.6523	12.8675	181.9837	kduD; 2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase [EC:1.1.1.127]
K00066	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3382	4.5883	0.0000	4.8736	algD; GDP-mannose 6-dehydrogenase [EC:1.1.1.132]
K00067	184.5258	33.6654	0.0000	0.0000	20.1476	0.0000	20.7001	454.7996	44.4473	328.1861	345.3197	331.9850	353.6282	17.1993	291.9793	rfbD, rmlD; dTDP-4-dehydrorhamnose reductase [EC:1.1.1.133]
K00068	26.4270	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	2.4656	3.7890	0.0000	376.1222	16.8692	95.5927	0.0000	57.8826	srlD; sorbitol-6-phosphate 2-dehydrogenase [EC:1.1.1.140]
K00069	0.0000	0.0000	65.1425	0.0000	262.0553	0.0000	118.0544	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	94.7628	0.0000	HPGD; 15-hydroxyprostaglandin dehydrogenase (NAD) [EC:1.1.1.141]
K00070	0.0000	0.0000	81.8683	59.6462	0.0000	99.5900	32.9702	0.0000	30.9071	0.0000	0.0000	0.0000	0.0000	156.2975	0.0000	HSD3B; 3beta-hydroxy-Delta5-steroid dehydrogenase / steroid Delta-isomerase [EC:1.1.1.145 5.3.3.1]
K00071	0.0000	0.0000	47.3301	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	-
K00073	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	260.6303	1.2728	54.6838	0.0000	0.1176	allD; ureidoglycolate dehydrogenase (NAD+) [EC:1.1.1.350]
K00074	341.4029	140.8691	11.9069	0.0000	31.3104	11.1368	28.3272	733.2817	61.4326	487.2144	359.7808	347.7945	558.5454	40.2356	439.3931	paaH, hbd, fadB, mmgB; 3-hydroxybutyryl-CoA dehydrogenase [EC:1.1.1.157]
K00075	433.8314	92.9745	19.5176	0.0000	510.1935	10.5092	104.1972	650.6360	47.3535	1269.4015	903.8632	612.1434	787.9453	182.0725	481.0814	murB; UDP-N-acetylmuramate dehydrogenase [EC:1.3.1.98]
K00076	61.7824	0.0000	6.5565	7.0825	322.3696	0.0000	71.2948	234.8851	0.0000	8.5099	269.6694	434.8581	173.6435	127.1708	10.1054	hdhA; 7-alpha-hydroxysteroid dehydrogenase [EC:1.1.1.159]
K00077	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	13.1313	493.6880	0.0000	7.5301	174.1321	188.6336	295.5294	21.0641	107.3822	panE, apbA; 2-dehydropantoate 2-reductase [EC:1.1.1.169]
K00078	0.0000	0.0000	0.0000	45.5973	0.0000	98.2525	75.6134	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	DHDH; dihydrodiol dehydrogenase / D-xylose 1-dehydrogenase (NADP) [EC:1.3.1.20 1.1.1.179]
K00086	0.0000	0.0000	4.3635	0.0000	0.0000	0.0000	15.8154	250.6205	0.0000	0.0000	256.4587	11.1551	185.2298	0.0000	1.7046	dhaT; 1,3-propanediol dehydrogenase [EC:1.1.1.202]
K00087	1.3973	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	5.0171	1.2850	0.0000	310.1248	2.3250	48.6319	0.0000	0.2685	ygeS, xdhA; xanthine dehydrogenase molybdenum-binding subunit [EC:1.17.1.4]
K00088	859.7295	277.3031	100.4648	0.0000	624.5668	63.4401	333.6442	956.1203	289.7444	1263.0896	633.1984	690.5651	1082.5569	250.8039	766.6033	IMPDH, guaB; IMP dehydrogenase [EC:1.1.1.205]
K00090	9.6673	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	9.6934	3.0211	0.0000	320.5217	218.0920	83.6923	5.0268	19.6163	ghrB; glyoxylate/hydroxypyruvate/2-ketogluconate reductase [EC:1.1.1.79 1.1.1.81 1.1.1.215]
K00094	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	3.6937	0.0000	0.0000	333.8376	11.5542	209.0162	0.0000	0.1186	E1.1.1.251, gatD; galactitol-1-phosphate 5-dehydrogenase [EC:1.1.1.251]
K00096	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3423	0.0000	0.0000	0.0000	35.9209	araM, egsA; glycerol-1-phosphate dehydrogenase [NAD(P)+] [EC:1.1.1.261]
K00097	64.2507	0.0000	5.5055	0.0000	486.7531	0.0000	37.8236	105.2736	2.9845	7.5454	274.1200	395.7764	69.9957	186.8731	195.9444	pdxA; 4-hydroxythreonine-4-phosphate dehydrogenase [EC:1.1.1.262]
K00099	240.0354	100.1735	8.9062	0.0000	344.6472	0.0000	0.0000	127.0139	61.3696	254.3499	9.4583	284.0390	94.0169	94.1115	221.0081	dxr; 1-deoxy-D-xylulose-5-phosphate reductoisomerase [EC:1.1.1.267]
K00100	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	29.4990	0.0000	0.0000	1.2108	0.0000	5.1521	0.0000	0.0000	bdhAB; butanol dehydrogenase [EC:1.1.1.-]
K00101	252.7656	24.0095	0.0000	0.0000	3.5259	0.0000	0.0000	25.3494	37.7673	204.2838	437.1428	228.3349	234.1963	0.0000	370.9278	lldD; L-lactate dehydrogenase (cytochrome) [EC:1.1.2.3]
K00102	34.5412	0.0000	0.0000	0.0000	3.1761	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	160.9797	8.5454	0.0000	18.2051	LDHD, dld; D-lactate dehydrogenase (cytochrome) [EC:1.1.2.4]
K00104	242.9845	20.8672	3.6452	3.9836	100.7738	0.0000	0.0000	400.7873	13.5091	55.7313	482.5832	416.0703	342.9488	183.7631	210.3079	glcD; glycolate oxidase [EC:1.1.3.15]
K00106	0.0000	0.0000	0.0000	0.0000	220.1549	0.0000	37.1919	0.0000	0.0000	0.0000	0.0000	8.1412	0.0000	0.0000	0.0000	XDH; xanthine dehydrogenase/oxidase [EC:1.17.1.4 1.17.3.2]
K00108	118.9784	141.3922	140.1575	123.7056	86.0363	106.6238	147.9889	17.7369	30.4902	218.9326	4.6931	300.2070	36.0591	17.5146	215.6503	betA, CHDH; choline dehydrogenase [EC:1.1.99.1]
K00109	0.0000	0.0000	320.8819	187.0262	38.2472	181.3508	129.2262	0.0000	187.6033	0.0000	0.0000	0.0000	0.0000	145.2226	0.0000	L2HGDH; 2-hydroxyglutarate dehydrogenase [EC:1.1.99.2]
K00111	562.6559	150.2995	10.0584	9.8935	21.3786	0.0000	91.2568	282.1937	120.4757	330.1031	1094.8114	325.2412	557.2703	12.0155	726.6785	glpA, glpD; glycerol-3-phosphate dehydrogenase [EC:1.1.5.3]
K00112	25.2432	8.1304	0.0000	8.6818	0.0000	0.0000	43.1906	10.6220	7.0669	2.8185	371.8698	14.4155	50.3368	0.0000	56.2091	glpB; glycerol-3-phosphate dehydrogenase subunit B [EC:1.1.5.3]
K00113	33.8873	0.0000	0.0000	4.3823	3.5847	0.0000	0.0000	4.6512	2.4804	5.9355	266.7154	12.3328	55.8157	0.0000	52.7201	glpC; glycerol-3-phosphate dehydrogenase subunit C [EC:1.1.5.3]
K00114	5.4801	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	6.0301	0.0000	22.5026	1.7183	0.0000	5.9408	exaA; alcohol dehydrogenase (cytochrome c) [EC:1.1.2.8]
K00116	248.4624	129.8276	0.0000	0.0000	3.0168	3.2175	12.3975	33.6393	245.0609	357.0676	265.8113	23.1597	119.9835	3.3194	153.3297	mqo; malate dehydrogenase (quinone) [EC:1.1.5.4]
K00117	36.8637	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	5.5835	6.1922	1.4003	436.8047	87.6250	162.0340	0.0000	192.9428	gcd; quinoprotein glucose dehydrogenase [EC:1.1.5.2]
K00121	97.7851	9.0394	416.2314	534.5009	9.1918	254.1065	12.4226	98.7323	18.0344	18.8018	46.7050	313.2686	54.0271	4.3443	409.3926	frmA, ADH5, adhC; S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1]
K00122	9.6623	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	14.6905	0.0000	38.9176	2.5117	0.0000	0.3078	FDH; formate dehydrogenase [EC:1.17.1.9]
K00123	264.8517	0.0000	145.8938	303.5424	636.6503	588.2996	166.7574	142.8399	118.2494	52.4345	580.7456	452.9609	183.2132	442.8545	75.6344	fdoG, fdhF, fdwA; formate dehydrogenase major subunit [EC:1.17.1.9]
K00124	133.7054	0.0000	20.9502	14.4461	488.7069	0.0000	58.4606	26.8722	8.7227	9.1570	261.4622	353.4511	47.9708	149.9564	142.3161	fdoH, fdsB; formate dehydrogenase iron-sulfur subunit
K00126	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	49.0523	0.0000	0.0000	88.9906	fdsD; formate dehydrogenase subunit delta [EC:1.17.1.9]
K00127	25.1160	0.0000	4.9838	11.2943	521.1993	4.8674	34.3945	0.0000	9.2965	15.3771	195.9777	280.9318	61.7206	24.7005	144.7017	fdoI, fdsG; formate dehydrogenase subunit gamma
K00128	284.1421	444.9907	154.5266	43.6148	74.1131	214.0963	102.2698	667.9018	124.6756	156.2479	282.3420	628.3134	383.8187	222.6394	923.4982	ALDH; aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]
K00129	50.0373	226.8915	179.9549	36.7769	113.6685	70.6463	162.7271	0.0000	20.7353	78.6548	0.0000	1.9824	0.0000	111.5949	0.0000	E1.2.1.5; aldehyde dehydrogenase (NAD(P)+) [EC:1.2.1.5]
K00130	198.7785	40.7604	7.0757	0.0000	6.1196	3.3325	8.5487	5.4475	32.5068	123.8581	85.1454	91.6957	97.6684	0.0000	170.4948	betB, gbsA; betaine-aldehyde dehydrogenase [EC:1.2.1.8]
K00131	2.2165	0.0000	21.1181	0.0000	28.4661	0.0000	29.4864	240.4032	0.0000	0.0000	98.1915	5.5337	303.6494	20.6088	1.5311	gapN; glyceraldehyde-3-phosphate dehydrogenase (NADP+) [EC:1.2.1.9]
K00132	0.0000	0.0000	0.0000	0.0000	0.0000	6.2944	0.0000	74.9980	0.0000	0.0000	0.9391	0.2945	7.9924	6.4806	0.0000	E1.2.1.10; acetaldehyde dehydrogenase (acetylating) [EC:1.2.1.10]
K00133	359.7894	94.4644	24.6150	5.3985	579.9387	13.8394	56.8914	418.0999	179.4461	142.2501	748.5035	366.8663	313.2913	295.1157	384.1308	asd; aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]
K00134	445.9891	286.7834	127.9996	0.0000	1202.9447	25.3841	132.4638	409.6160	165.2462	478.9248	638.5760	398.9499	538.8863	409.1565	612.3091	GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]
K00135	721.9660	387.3061	26.0861	3.7790	42.4662	3.2306	40.7958	82.8054	229.9204	821.7447	409.8207	457.3896	329.2008	13.7128	942.2364	gabD; succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase [EC:1.2.1.16 1.2.1.79 1.2.1.20]
K00137	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.3460	0.0000	0.0000	196.3134	7.8042	55.1244	0.0000	4.9267	prr; aminobutyraldehyde dehydrogenase [EC:1.2.1.19]
K00138	224.8042	147.4630	0.0000	0.0000	253.9622	0.0000	28.2494	35.3040	77.5787	290.1486	5.2884	110.4778	97.2920	3.2467	317.7606	aldB; aldehyde dehydrogenase [EC:1.2.1.-]
K00140	216.9922	67.0288	16.2333	71.0378	37.8614	214.2017	20.1528	14.0717	33.2651	195.4350	3.4601	208.9699	33.9278	131.2143	546.3884	mmsA, iolA, ALDH6A1; malonate-semialdehyde dehydrogenase (acetylating) / methylmalonate-semialdehyde dehydrogenase [EC:1.2.1.18 1.2.1.27]
K00141	72.6936	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	9.2279	4.0268	0.0000	1.9479	6.4071	16.5136	0.0000	17.8426	xylC; benzaldehyde dehydrogenase (NAD) [EC:1.2.1.28]
K00145	322.0837	216.7366	0.0000	0.0000	486.7223	4.7083	41.3058	31.6333	105.0309	180.9061	335.0478	366.7988	90.0729	188.5826	332.7002	argC; N-acetyl-gamma-glutamyl-phosphate reductase [EC:1.2.1.38]
K00147	211.8482	86.8397	4.0486	0.0000	7.2385	0.0000	19.2930	897.4955	26.8574	397.3210	804.0869	301.1893	666.1639	15.7051	385.5363	proA; glutamate-5-semialdehyde dehydrogenase [EC:1.2.1.41]
K00148	91.9029	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	7.8525	0.0000	11.5506	0.3868	15.7302	4.9372	0.0000	26.7933	fdhA; glutathione-independent formaldehyde dehydrogenase [EC:1.2.1.46]
K00149	17.5865	0.0000	494.5354	631.0718	51.2000	414.8048	235.9937	0.0000	16.7424	0.0000	0.0000	0.0000	0.0000	295.1827	0.0000	-
K00151	133.9538	0.0000	0.0000	0.0000	11.7790	0.0000	0.0000	10.0102	27.0145	52.5135	12.5110	33.3562	71.0407	0.0000	121.2598	hpaE, hpcC; 5-carboxymethyl-2-hydroxymuconic-semialdehyde dehydrogenase [EC:1.2.1.60]
K00156	309.9178	87.3241	8.7244	3.1782	12.9633	0.0000	28.0603	56.5546	140.3349	467.7730	23.3169	44.3164	126.6169	0.0000	147.1993	poxB; pyruvate dehydrogenase (quinone) [EC:1.2.5.1]
K00157	14.1389	0.0000	44.4805	0.0000	39.7637	20.9490	53.7399	42.3064	0.0000	0.0000	0.0000	0.0000	13.3001	43.1372	0.0000	AOX; aldehyde oxidase [EC:1.2.3.1]
K00161	402.4721	35.0674	23.3297	74.0573	12.2736	259.0053	144.1898	276.3866	215.0533	902.5575	30.5596	442.1491	192.6425	112.2961	587.0804	PDHA, pdhA; pyruvate dehydrogenase E1 component alpha subunit [EC:1.2.4.1]
K00162	328.3307	81.3739	10.3348	16.3879	13.8583	9.7347	37.4584	122.8003	28.3444	903.6464	26.5885	359.1516	237.4562	24.8929	542.9705	PDHB, pdhB; pyruvate dehydrogenase E1 component beta subunit [EC:1.2.4.1]
K00163	116.2016	25.8953	0.0000	0.0000	3.3439	0.0000	0.0000	18.8453	63.6431	133.4203	219.6833	163.9459	95.8363	0.0000	252.7021	aceE; pyruvate dehydrogenase E1 component [EC:1.2.4.1]
K00164	71.0496	0.0000	1.3586	5.6969	33.7586	0.0000	19.2254	8.3556	1.0538	15.6727	329.7529	148.1586	141.6964	0.0000	220.8248	OGDH, sucA; 2-oxoglutarate dehydrogenase E1 component [EC:1.2.4.2]
K00166	10.2836	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	183.8915	4.9131	0.0000	144.2233	BCKDHA, bkdA1; 2-oxoisovalerate dehydrogenase E1 component alpha subunit [EC:1.2.4.4]
K00167	11.8185	9.5210	0.0000	0.0000	0.0000	0.0000	0.0000	1.9539	0.0000	3.4863	0.0000	182.0700	2.9804	0.0000	123.9895	BCKDHB, bkdA2; 2-oxoisovalerate dehydrogenase E1 component beta subunit [EC:1.2.4.4]
K00169	66.5651	0.0000	12.3151	0.0000	528.2662	0.0000	19.9983	55.4677	2.4194	0.0000	1.5416	23.9312	30.2759	124.4085	13.5114	porA; pyruvate ferredoxin oxidoreductase alpha subunit [EC:1.2.7.1]
K00170	53.4029	0.0000	0.0000	0.0000	506.8066	5.0375	0.0000	73.7160	0.0000	0.0000	1.0086	21.6899	16.0934	171.1552	5.9745	porB; pyruvate ferredoxin oxidoreductase beta subunit [EC:1.2.7.1]
K00171	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	57.2398	0.0000	0.0000	1.5663	0.0000	0.0000	16.2122	0.3928	porD; pyruvate ferredoxin oxidoreductase delta subunit [EC:1.2.7.1]
